Step Index,Current Position,Next Position,Goal Postion,Current Distance,Current Norm Distance,Current Unit Vector,Next Distance,Next Norm Distance,Next Unit Vector,Action
1.1,"(-0.001223641685783477, -0.025005106148435926, 0.3299961985186561)","(-0.11557580056926867, -0.11470876574973614, 0.19203732872717924)","(-0.14231948321346824, -0.08036129216675643, 0.22285302193038756)",0.185612510667588,0.437492883220372,"(-0.7601634233608989, -0.29823520957300975, -0.5772411364024412)",0.053334608374876,0.125710877512679,"(-0.5014320618279345, 0.6439997335606097, 0.5777804345465932)","[0.9566274631088822, 0.9390892493347441, 0.24016120488976528]"
1.2,"(-0.11557580056926867, -0.11470876574973614, 0.19203732872717924)","(-0.09603038701755501, -0.10407272414568954, 0.19768775488876075)","(-0.14231948321346824, -0.08036129216675643, 0.22285302193038756)",0.053334608374876,0.125710877512679,"(-0.5014320618279345, 0.6439997335606097, 0.5777804345465932)",0.057777184929715,0.136182130872235,"(-0.8011656547861111, 0.4103943798538772, 0.4355571679762523)","[0.5828067529733756, 0.9913747385920955, 0.9129360978191822]"
1.3,"(-0.09603038701755501, -0.10407272414568954, 0.19768775488876075)","(-0.05465976839916939, -0.11904788834925055, 0.17102499950722355)","(-0.14231948321346824, -0.08036129216675643, 0.22285302193038756)",0.057777184929715,0.136182130872235,"(-0.8011656547861111, 0.4103943798538772, 0.4355571679762523)",0.108935862936902,0.25676429132364,"(-0.8046910581235585, 0.3551318651131641, 0.4757663915801885)","[0.4622956076669983, 1.461663100769346, 0.5988926364103937]"
1.4,"(-0.05465976839916939, -0.11904788834925055, 0.17102499950722355)","(-0.05860414366455417, -0.0863703172930846, 0.2875679935595838)","(-0.14231948321346824, -0.08036129216675643, 0.22285302193038756)",0.108935862936902,0.25676429132364,"(-0.8046910581235585, 0.3551318651131641, 0.4757663915801885)",0.10598298925642,0.249804301312119,"(-0.7898941154261012, 0.05669801511061036, -0.6106165912401449)","[0.2692572122451443, 0.5304637371609043, 0.21033093847831733]"
1.5,"(-0.05860414366455417, -0.0863703172930846, 0.2875679935595838)","(-0.13984237245148512, -0.09098613107219002, 0.1656747947601455)","(-0.14231948321346824, -0.08036129216675643, 0.22285302193038756)",0.10598298925642,0.249804301312119,"(-0.7898941154261012, 0.05669801511061036, -0.6106165912401449)",0.058209732363458,0.13720165495085,"(-0.0425549244328459, 0.18252684686974383, 0.9822795063413996)","[1.025281233646673, 0.7381281373350758, 0.9125737135769144]"
1.6,"(-0.13984237245148512, -0.09098613107219002, 0.1656747947601455)","(-0.0825774968627134, -0.11882502966823205, 0.15249370379335273)","(-0.14231948321346824, -0.08036129216675643, 0.22285302193038756)",0.058209732363458,0.13720165495085,"(-0.0425549244328459, 0.18252684686974383, 0.9822795063413996)",0.099994988296538,0.23569044769717,"(-0.5974498059201582, 0.38465665286554646, 0.7036284451414964)","[0.8913162783793548, 1.3142878970026128, 0.6222074369016899]"
1.7,"(-0.0825774968627134, -0.11882502966823205, 0.15249370379335273)","(-0.13961860086784472, -0.07205353725164106, 0.08054864449207758)","(-0.14231948321346824, -0.08036129216675643, 0.22285302193038756)",0.099994988296538,0.23569044769717,"(-0.5974498059201582, 0.38465665286554646, 0.7036284451414964)",0.142572260258718,0.336046040126775,"(-0.01894395403932282, -0.05827048613832573, 0.9981210733425877)","[1.5265748732186541, 0.5974137049919024, 1.257272353830235]"
1.8,"(-0.13961860086784472, -0.07205353725164106, 0.08054864449207758)","(-0.12334607896147134, -0.09627158257628092, 0.22269592005399783)","(-0.14231948321346824, -0.08036129216675643, 0.22285302193038756)",0.142572260258718,0.336046040126775,"(-0.01894395403932282, -0.05827048613832573, 0.9981210733425877)",0.024761908061066,0.058364377016991,"(-0.7662335311643342, 0.6425308732383608, 0.006344498008889329)","[0.7406176265015353, 0.6868224869885826, 0.4539841740648979]"
1.9,"(-0.12334607896147134, -0.09627158257628092, 0.22269592005399783)","(-0.06306457448013782, -0.03265965356018769, 0.28005931002469053)","(-0.14231948321346824, -0.08036129216675643, 0.22285302193038756)",0.024761908061066,0.058364377016991,"(-0.7662335311643342, 0.6425308732383608, 0.006344498008889329)",0.108762798242821,0.256356373927744,"(-0.7286950134952199, -0.43858414253071387, -0.5259729339308247)","[0.09124315581822978, 0.0963433360124401, 1.4664361502985896]"
1.1,"(-0.06306457448013782, -0.03265965356018769, 0.28005931002469053)","(-0.17439461435010817, -0.03745635717856172, 0.207415886962181)","(-0.14231948321346824, -0.08036129216675643, 0.22285302193038756)",0.108762798242821,0.256356373927744,"(-0.7286950134952199, -0.43858414253071387, -0.5259729339308247)",0.055749014518649,0.131401687368679,"(0.5753488454205858, -0.769608850643317, 0.2769041767194413)","[0.9512878896445639, 0.11446641450411149, 0.6516448209116363]"
