Step Index,Current Position,Next Position,Goal Postion,Current Distance,Current Norm Distance,Current Unit Vector,Next Distance,Next Norm Distance,Next Unit Vector,Action
1.1,"(-0.001223641685783477, -0.025005106148435926, 0.3299961985186561)","(-0.10163001582471165, -0.053406344949494915, 0.27019691934653334)","(0.23203047241726832, 0.0613905233273698, 0.26149392881361866)",0.25800047963765865,0.608112962337234,"(0.9040840328306321, 0.3348661583774634, -0.26551217967208224)",0.3529637154499996,0.8319434556916456,"(0.9453110153733235, 0.3252370236711391, -0.024656898576158413)","[0.3776154511380995, 0.2801836196631564, 0.9889509237797358]"
1.2,"(-0.10163001582471165, -0.053406344949494915, 0.27019691934653334)","(-0.14231948321346824, -0.08036129216675643, 0.22285302193038756)","(0.23203047241726832, 0.0613905233273698, 0.26149392881361866)",0.3529637154499996,0.8319434556916456,"(0.9453110153733235, 0.3252370236711391, -0.024656898576158413)",0.40214995481955956,0.9478765336892476,"(0.9308715595870288, 0.3524849718253202, 0.09608581679579914)","[0.8195174428371746, 0.5048288742969989, 0.4815203389949639]"
1.3,"(-0.14231948321346824, -0.08036129216675643, 0.22285302193038756)","(-0.047677673991588204, -0.1212237166686039, 0.19782938501023806)","(0.23203047241726832, 0.0613905233273698, 0.26149392881361866)",0.40214995481955956,0.9478765336892476,"(0.9308715595870288, 0.3524849718253202, 0.09608581679579914)",0.3400555571586472,0.8015186348234968,"(0.8225366135638931, 0.5370129561234551, 0.18721806617522493)","[0.27998205457404207, 1.3357347614263209, 0.5467157004744284]"
1.4,"(-0.047677673991588204, -0.1212237166686039, 0.19782938501023806)","(-0.06757306720503145, -0.11458611610505867, 0.1608072749923769)","(0.23203047241726832, 0.0613905233273698, 0.26149392881361866)",0.3400555571586472,0.8015186348234968,"(0.8225366135638931, 0.5370129561234551, 0.18721806617522493)",0.36175663205788017,0.8526685588911128,"(0.8281908694195383, 0.48645034765878914, 0.27832704337299374)","[0.6464030114946167, 1.4202138806891202, 0.7554326075051001]"
1.5,"(-0.06757306720503145, -0.11458611610505867, 0.1608072749923769)","(-0.14590047001579082, -0.08452233409010615, 0.20640857999706777)","(0.23203047241726832, 0.0613905233273698, 0.26149392881361866)",0.36175663205788017,0.8526685588911128,"(0.8281908694195383, 0.48645034765878914, 0.27832704337299374)",0.40884808286491203,0.9636641728963293,"(0.9243798816049035, 0.3568877133898343, 0.13473304908403277)","[0.8932706381703897, 0.552312636906563, 0.5471684009534067]"
1.6,"(-0.14590047001579082, -0.08452233409010615, 0.20640857999706777)","(-0.1289022615594541, -0.09552953828907534, 0.09909497932228403)","(0.23203047241726832, 0.0613905233273698, 0.26149392881361866)",0.40884808286491203,0.9636641728963293,"(0.9243798816049035, 0.3568877133898343, 0.13473304908403277)",0.42575786896956996,1.003520920973055,"(0.8477417806751547, 0.36856643893917235, 0.38143499234524236)","[1.4630721389416919, 0.8761767397132455, 0.9817238919815436]"
1.7,"(-0.1289022615594541, -0.09552953828907534, 0.09909497932228403)","(-0.08229759822201936, -0.10339559401938317, 0.20056631389999155)","(0.23203047241726832, 0.0613905233273698, 0.26149392881361866)",0.42575786896956996,1.003520920973055,"(0.8477417806751547, 0.36856643893917235, 0.38143499234524236)",0.3600955077768926,0.8487532514128464,"(0.8729019492074269, 0.45761780913093447, 0.16919848650646468)","[0.4469294977900394, 1.083392445719085, 0.9974937717125365]"
1.8,"(-0.08229759822201936, -0.10339559401938317, 0.20056631389999155)","(-0.09010244470493972, -0.0918952718293139, 0.26668801322013114)","(0.23203047241726832, 0.0613905233273698, 0.26149392881361866)",0.3600955077768926,0.8487532514128464,"(0.8729019492074269, 0.45761780913093447, 0.16919848650646468)",0.35678162761457055,0.8409423609634548,"(0.9028853847547516, 0.42963477738903527, -0.014558161083685682)","[0.5208319055132145, 0.6017462747304491, 0.14577567451898088]"
1.9,"(-0.09010244470493972, -0.0918952718293139, 0.26668801322013114)","(-0.1381558489089533, -0.05388429475936508, 0.1805893936964095)","(0.23203047241726832, 0.0613905233273698, 0.26149392881361866)",0.35678162761457055,0.8409423609634548,"(0.9028853847547516, 0.42963477738903527, -0.014558161083685682)",0.3960703725154182,0.9335468207757807,"(0.9346478479952727, 0.29104630410659527, 0.2042680814608513)","[0.8616894824230573, 0.4041723820214156, 1.5684725596935445]"
1.1,"(-0.1381558489089533, -0.05388429475936508, 0.1805893936964095)","(-0.12837120286317985, -0.08486229728689078, 0.18940679114454045)","(0.23203047241726832, 0.0613905233273698, 0.26149392881361866)",0.3960703725154182,0.9335468207757807,"(0.9346478479952727, 0.29104630410659527, 0.2042680814608513)",0.3955702345979805,0.9323679843992849,"(0.9110940201219279, 0.3697265563039592, 0.18223600100331266)","[0.804338676018224, 0.7184290516673246, 1.0564487862757241]"
1.11,"(-0.12837120286317985, -0.08486229728689078, 0.18940679114454045)","(-0.04115147846727013, -0.12448668736624763, 0.16054391523236247)","(0.23203047241726832, 0.0613905233273698, 0.26149392881361866)",0.3955702345979805,0.9323679843992849,"(0.9110940201219279, 0.3697265563039592, 0.18223600100331266)",0.345499089704123,0.814349164078549,"(0.7906879034572415, 0.5379962385799573, 0.292186047921884)","[0.6816277262059972, 1.5670110530018222, 0.18433377507788928]"
1.12,"(-0.04115147846727013, -0.12448668736624763, 0.16054391523236247)","(-0.0847439549156039, -0.10544590546944223, 0.23518197921349185)","(0.23203047241726832, 0.0613905233273698, 0.26149392881361866)",0.345499089704123,0.814349164078549,"(0.7906879034572415, 0.5379962385799573, 0.292186047921884)",0.3589885102304842,0.846144033173439,"(0.8824082618396087, 0.46474030238376357, 0.07329468451019099)","[0.4593811204287794, 0.8532334688940724, 0.5857373458419816]"
