Step Index,Current Position,Next Position,Goal Postion,Current Distance,Current Norm Distance,Current Unit Vector,Next Distance,Next Norm Distance,Next Unit Vector,Action
1.1,"(-0.0010470892725087926, -0.025004089200246514, 0.3299968396732982)","(-0.023676860129468902, -0.1064195037603846, 0.2500631653638847)","(0.2431540732793515, 0.1781281949852932, 0.14671168760351022)",0.36672930021933103,0.8643892501496206,"(0.665889424176934, 0.5539025217348374, -0.49978322419334914)",0.40354388589165435,0.9511620607345305,"(0.6612191207388547, 0.705122066505735, -0.25610963608583287)","[0.44554664054952337, 0.9617774019864651, -0.7828659619325407]"
1.2,"(-0.023676860129468902, -0.1064195037603846, 0.2500631653638847)","(0.14240963208567572, 0.09947046797016218, 0.09583535880918594)","(0.2431540732793515, 0.1781281949852932, 0.14671168760351022)",0.40354388589165435,0.9511620607345305,"(0.6612191207388547, 0.705122066505735, -0.25610963608583287)",0.13756773343411988,0.32425025727909834,"(0.7323260962347796, 0.5717745364526166, 0.36982748442743346)","[-1.5039353413723084, -1.1427109511387994, -0.6200899757110155]"
1.3,"(0.14240963208567572, 0.09947046797016218, 0.09583535880918594)","(0.11885328089994321, 0.1170982280605074, 0.17827599480440817)","(0.2431540732793515, 0.1781281949852932, 0.14671168760351022)",0.13756773343411988,0.32425025727909834,"(0.7323260962347796, 0.5717745364526166, 0.36982748442743346)",0.1420269317350124,0.3347606884698205,"(0.8751917038616538, 0.42970700119504673, -0.2222417031425367)","[-1.049548321903782, -1.2863896141885, -0.07427215617361506]"
1.4,"(0.11885328089994321, 0.1170982280605074, 0.17827599480440817)","(-0.142576873890929, -0.08283913158838455, 0.20042205722093165)","(0.2431540732793515, 0.1781281949852932, 0.14671168760351022)",0.1420269317350124,0.3347606884698205,"(0.8751917038616538, 0.42970700119504673, -0.2222417031425367)",0.4688039173773341,1.104981430081103,"(0.8227980459894723, 0.5566662668555061, -0.11456894370229986)","[1.2875980203689958, 0.5789408018248661, -0.7824064427200513]"
1.5,"(-0.142576873890929, -0.08283913158838455, 0.20042205722093165)","(-0.006304905352473076, -0.11629671059956631, 0.18631731889497172)","(0.2431540732793515, 0.1781281949852932, 0.14671168760351022)",0.4688039173773341,1.104981430081103,"(0.8227980459894723, 0.5566662668555061, -0.11456894370229986)",0.38792320513045075,0.9143437630912061,"(0.6430627900899524, 0.7589772967715359, -0.10209657676483395)","[0.54445282162882, 1.5388373130618436, -0.6378305193787148]"
1.6,"(-0.006304905352473076, -0.11629671059956631, 0.18631731889497172)","(-0.04406625428569876, -0.11974844358437922, 0.22849414044899133)","(0.2431540732793515, 0.1781281949852932, 0.14671168760351022)",0.38792320513045075,0.9143437630912061,"(0.6430627900899524, 0.7589772967715359, -0.10209657676483395)",0.42179897814665857,0.9941897258168622,"(0.6809412598083261, 0.706205216234785, -0.19388964194466476)","[0.18660562648319573, 1.084936444750919, 0.43265778426703094]"
1.7,"(-0.04406625428569876, -0.11974844358437922, 0.22849414044899133)","(-0.08465360553836643, 0.08374570292090319, 0.20132489579248775)","(0.2431540732793515, 0.1781281949852932, 0.14671168760351022)",0.42179897814665857,0.9941897258168622,"(0.6809412598083261, 0.706205216234785, -0.19388964194466476)",0.3454685681922993,0.8142772241852736,"(0.948878447996025, 0.2732013872007411, -0.15808444882481462)","[0.38141689030893744, -1.506693764023099, 1.4308898042741471]"
1.8,"(-0.08465360553836643, 0.08374570292090319, 0.20132489579248775)","(-0.1201615237899787, 0.04325664495045366, 0.25535436107005444)","(0.2431540732793515, 0.1781281949852932, 0.14671168760351022)",0.3454685681922993,0.8142772241852736,"(0.948878447996025, 0.2732013872007411, -0.15808444882481462)",0.40248203510293756,0.9486592544234974,"(0.9026877360536346, 0.3350995529535752, -0.26993173357106015)","[0.9449025561545535, -0.5916709262090113, -1.025065450092076]"
1.9,"(-0.1201615237899787, 0.04325664495045366, 0.25535436107005444)","(0.12161763080451313, -0.08832852131989508, 0.24491702546496635)","(0.2431540732793515, 0.1781281949852932, 0.14671168760351022)",0.40248203510293756,0.9486592544234974,"(0.9026877360536346, 0.3350995529535752, -0.26993173357106015)",0.30889250055329287,0.7280666059963425,"(0.3934587024843287, 0.8626195709766571, -0.31792723256650535)","[-0.8127240492153383, 0.6160070456063865, 0.26396456195045104]"
1.1,"(0.12161763080451313, -0.08832852131989508, 0.24491702546496635)","(0.1426581026595155, -0.05688834512184216, 0.22022598487570566)","(0.2431540732793515, 0.1781281949852932, 0.14671168760351022)",0.30889250055329287,0.7280666059963425,"(0.3934587024843287, 0.8626195709766571, -0.31792723256650535)",0.2659634676758754,0.6268819051383355,"(0.3778562954454652, 0.8836421865033942, -0.2764075003029585)","[-0.704312585020073, 0.3804905089995241, -0.9831368896653618]"
1.11,"(0.1426581026595155, -0.05688834512184216, 0.22022598487570566)","(0.14422692160427933, 0.06663068502426209, 0.19819905851006853)","(0.2431540732793515, 0.1781281949852932, 0.14671168760351022)",0.2659634676758754,0.6268819051383355,"(0.3778562954454652, 0.8836421865033942, -0.2764075003029585)",0.15769979527229094,0.37170198209589056,"(0.6273131268449683, 0.707023809184501, -0.32648977646203087)","[-0.8020012452190394, -0.8814466745586405, -1.0465614139346675]"
1.12,"(0.14422692160427933, 0.06663068502426209, 0.19819905851006853)","(-0.09409507518431237, -0.08624909133533998, 0.2597326578369709)","(0.2431540732793515, 0.1781281949852932, 0.14671168760351022)",0.15769979527229094,0.37170198209589056,"(0.6273131268449683, 0.707023809184501, -0.32648977646203087)",0.44317725277166614,1.044578802341566,"(0.7609802767503987, 0.5965497657363874, -0.2550243035413448)","[0.7477946150903095, 0.616629193582821, -0.5630998128266888]"
1.13,"(-0.09409507518431237, -0.08624909133533998, 0.2597326578369709)","(-0.15943225351043466, -0.027300277772941278, 0.07773046978363832)","(0.2431540732793515, 0.1781281949852932, 0.14671168760351022)",0.44317725277166614,1.044578802341566,"(0.7609802767503987, 0.5965497657363874, -0.2550243035413448)",0.45720347368516984,1.0776389220827627,"(0.8805408312951861, 0.449315205552643, 0.15087640796747828)","[1.5327245276874424, 0.05779085652807424, 1.4531946840449927]"
1.14,"(-0.15943225351043466, -0.027300277772941278, 0.07773046978363832)","(0.02603353393400844, -0.10021288971741184, 0.19739816501452054)","(0.2431540732793515, 0.1781281949852932, 0.14671168760351022)",0.45720347368516984,1.0776389220827627,"(0.8805408312951861, 0.449315205552643, 0.15087640796747828)",0.35662894867274575,0.8405824932464258,"(0.6088135586115301, 0.7804781012270537, -0.14212664899932695)","[0.24912826167641916, 1.461712915704664, -1.1278345793003184]"
1.15,"(0.02603353393400844, -0.10021288971741184, 0.19739816501452054)","(0.11404847022906676, -0.05288370931557127, 0.26890334899551077)","(0.2431540732793515, 0.1781281949852932, 0.14671168760351022)",0.35662894867274575,0.8405824932464258,"(0.6088135586115301, 0.7804781012270537, -0.14212664899932695)",0.291488522555223,0.6870450364561537,"(0.4429183074466524, 0.7925248729376604, -0.4191988772691766)","[-0.8224776384572435, 0.2754864116914013, 0.8315847697661668]"
1.16,"(0.11404847022906676, -0.05288370931557127, 0.26890334899551077)","(0.10191488277851984, -0.008708514087075318, 0.2582500259614241)","(0.2431540732793515, 0.1781281949852932, 0.14671168760351022)",0.291488522555223,0.6870450364561537,"(0.4429183074466524, 0.7925248729376604, -0.4191988772691766)",0.259417165418882,0.6114521227462794,"(0.5444481296092036, 0.7202172175872884, -0.4299574323765833)","[-0.34672477156971265, -0.18114534737304264, -1.5188541870352565]"
1.17,"(0.10191488277851984, -0.008708514087075318, 0.2582500259614241)","(0.055933500108498825, 0.11597241309052062, 0.22679790700526556)","(0.2431540732793515, 0.1781281949852932, 0.14671168760351022)",0.259417165418882,0.6114521227462794,"(0.5444481296092036, 0.7202172175872884, -0.4299574323765833)",0.21290534699588745,0.5018227153722232,"(0.8793605976202613, 0.2919409153964236, -0.37615879794368107)","[-0.263041354366804, -1.4399924446323897, -0.46385685921065367]"
