Step Index,Current Position,Next Position,Goal Postion,Current Distance,Current Norm Distance,Current Unit Vector,Next Distance,Next Norm Distance,Next Unit Vector,Action
1.1,"(-0.001223641685783477, -0.025005106148435926, 0.3299961985186561)","(-0.11002000582635695, -0.12028452448536703, 0.17658083995929902)","(-0.14231948321346824, -0.08036129216675643, 0.22285302193038756)",0.1856125106675876,0.43749288322037194,"(-0.7601634233608989, -0.29823520957300975, -0.5772411364024412)",0.06912478240552948,0.1629286746233148,"(-0.46726334988835455, 0.5775530993268925, 0.6694007613597508)","[1.0611418612838628, 1.0390549858405445, 0.1648341869871457]"
1.2,"(-0.11002000582635695, -0.12028452448536703, 0.17658083995929902)","(-0.06450742549308361, -0.12795400400134416, 0.17465336530052802)","(-0.14231948321346824, -0.08036129216675643, 0.22285302193038756)",0.06912478240552948,0.1629286746233148,"(-0.46726334988835455, 0.5775530993268925, 0.6694007613597508)",0.10316486536455587,0.24316191959824882,"(-0.7542495930704559, 0.46132674788464423, 0.467209998864782)","[0.8405059551006038, 1.3289073935482572, 0.07472503938962828]"
1.3,"(-0.06450742549308361, -0.12795400400134416, 0.17465336530052802)","(-0.07357141263517156, -0.08724355956960016, 0.14115360707635533)","(-0.14231948321346824, -0.08036129216675643, 0.22285302193038756)",0.10316486536455587,0.24316191959824882,"(-0.7542495930704559, 0.46132674788464423, 0.467209998864782)",0.10699746352289838,0.25219544008933903,"(-0.6425205637102229, 0.06432178087446777, 0.7635640338011177)","[0.6688955903034849, 1.4823424795030624, 1.3741522901572987]"
1.4,"(-0.07357141263517156, -0.08724355956960016, 0.14115360707635533)","(-0.19797927737086093, -0.04103756403311719, 0.14880159143691785)","(-0.14231948321346824, -0.08036129216675643, 0.22285302193038756)",0.10699746352289838,0.25219544008933903,"(-0.6425205637102229, 0.06432178087446777, 0.7635640338011177)",0.10063787874404384,0.2372057550138097,"(0.5530700254419548, -0.39074480329273215, 0.7358206613417155)","[1.400576156814876, 0.14297522562569517, 0.04124297986479673]"
1.5,"(-0.19797927737086093, -0.04103756403311719, 0.14880159143691785)","(-0.08518782874770675, -0.12243719144173833, 0.17044685205870594)","(-0.14231948321346824, -0.08036129216675643, 0.22285302193038756)",0.10063787874404384,0.2372057550138097,"(0.5530700254419548, -0.39074480329273215, 0.7358206613417155)",0.08820892178466494,0.20791042251696787,"(-0.6476856684092672, 0.4770027614405867, 0.594114164546929)","[0.8375955889648979, 1.2284478960541, 0.44872501001164844]"
1.6,"(-0.08518782874770675, -0.12243719144173833, 0.17044685205870594)","(-0.1549966251027386, -0.08791757224461316, 0.19815451793492614)","(-0.14231948321346824, -0.08036129216675643, 0.22285302193038756)",0.08820892178466494,0.20791042251696787,"(-0.6476856684092672, 0.4770027614405867, 0.594114164546929)",0.028771920247170353,0.0678160663817756,"(0.4406081269642446, 0.26262689500537856, 0.8584239002223167)","[1.061499549490624, 0.5588418800522857, 0.12923957222154334]"
1.7,"(-0.1549966251027386, -0.08791757224461316, 0.19815451793492614)","(-0.1617748705404065, -0.08939505865757341, 0.140785333666914)","(-0.14231948321346824, -0.08036129216675643, 0.22285302193038756)",0.028771920247170353,0.0678160663817756,"(0.4406081269642446, 0.26262689500537856, 0.8584239002223167)",0.08482468090103536,0.19993369025702376,"(0.2293599824989239, 0.1064992687842427, 0.9674977540937834)","[1.2948791440694476, 0.6173946046878905, 0.519526569727989]"
1.8,"(-0.1617748705404065, -0.08939505865757341, 0.140785333666914)","(-0.07478358568115795, -0.10695040099305117, 0.15044638353990417)","(-0.14231948321346824, -0.08036129216675643, 0.22285302193038756)",0.08482468090103536,0.19993369025702376,"(0.2293599824989239, 0.1064992687842427, 0.9674977540937834)",0.10252219002089978,0.24164711928624677,"(-0.6587441949742069, 0.25934979364832517, 0.7062533328221222)","[0.7031565228813901, 1.4310364732456353, 0.977940884355214]"
1.9,"(-0.07478358568115795, -0.10695040099305117, 0.15044638353990417)","(-0.08439912025191193, -0.11631771419365189, 0.21672920147437227)","(-0.14231948321346824, -0.08036129216675643, 0.22285302193038756)",0.10252219002089978,0.24164711928624677,"(-0.6587441949742069, 0.25934979364832517, 0.7062533328221222)",0.06844803801097697,0.1613335727882546,"(-0.8461946411417615, 0.52530975425664, 0.08946670545959563)","[0.5733799474522362, 0.9869397762042009, 0.39312380387541174]"
1.1,"(-0.08439912025191193, -0.11631771419365189, 0.21672920147437227)","(-0.1699811456818051, -0.029295052716273133, 0.17548576766139584)","(-0.14231948321346824, -0.08036129216675643, 0.22285302193038756)",0.06844803801097697,0.1613335727882546,"(-0.8461946411417615, 0.52530975425664, 0.08946670545959563)",0.07494388006441624,0.17664441933993347,"(0.3690983499194457, -0.6813930557984257, 0.6320363214218201)","[1.0039815878575087, 0.03526161274997502, 1.2155447245331537]"
2.1,"(0.00047867939223198, -0.0239533135684047, 0.3302044684811145)","(-0.06280339163223567, -0.08093114477512403, 0.16887784086735455)","(-0.047677673991588204, -0.1212237166686039, 0.19782938501023806)",0.17118331815461493,0.4034829503104748,"(-0.2813145223667458, -0.5682236105059217, -0.7732942958338592)",0.051869746405714866,0.12225816473969177,"(0.29160963160176456, -0.7768029474892623, 0.5581585827782977)","[0.2991586177351154, 1.4739874127165387, 1.556767028217944]"
2.2,"(-0.06280339163223567, -0.08093114477512403, 0.16887784086735455)","(-0.04754272260767707, -0.05925788298775975, 0.2688470465889012)","(-0.047677673991588204, -0.1212237166686039, 0.19782938501023806)",0.051869746405714866,0.12225816473969177,"(0.29160963160176456, -0.7768029474892623, 0.5581585827782977)",0.09425121225607437,0.22215223773774276,"(-0.0014318265057904952, -0.6574539700612767, -0.7534933490904371)","[0.007592424877740688, 0.4350743908759409, 1.4266139790252355]"
2.3,"(-0.04754272260767707, -0.05925788298775975, 0.2688470465889012)","(-0.13583352417573308, -0.08026753885209117, 0.241065951695929)","(-0.047677673991588204, -0.1212237166686039, 0.19782938501023806)",0.09425121225607437,0.22215223773774276,"(-0.0014318265057904952, -0.6574539700612767, -0.7534933490904371)",0.10638732594530895,0.2507573320274383,"(0.8286311306429827, -0.38497234000944125, -0.4064071194713343)","[0.8191782238979924, 0.4662795666980024, 0.08791473298322547]"
2.4,"(-0.13583352417573308, -0.08026753885209117, 0.241065951695929)","(-0.18023551826336728, -0.04574632005854635, 0.09342800091368275)","(-0.047677673991588204, -0.1212237166686039, 0.19782938501023806)",0.10638732594530895,0.2507573320274383,"(0.8286311306429827, -0.38497234000944125, -0.4064071194713343)",0.18484606698085201,0.4356863581260774,"(0.7171255869107055, -0.4083256833258788, 0.5648017607394921)","[1.521274886678524, 0.18705152377241244, 0.8806557811214172]"
