index,goal_position,current_pos,current_angles,current_distance,next_pos,change_to_next,next_angles,next_distance,next_utility,utility_of_changes
0.19,"[0.0, -0.025, 0.33]","[-0.037161931109617505, -0.0916726279913877, 0.24658194156450242]","[-0.05300509175488077, 0.9001046515167967, 1.1739005401194724]",0.11306998240126345,"[-0.037929759996904566, -0.08823869072240857, 0.25261123240366057]",-5.0° on beta,"[-0.04563927856901939, 0.8273408705756236, 1.1823183542817413]",0.10689630511756458,0.5328471,"{'+5.0° on alpha': 0.4934853, '-5.0° on alpha': 0.522095, '+5.0° on beta': 0.50183123, '-5.0° on beta': 0.5328471, '+5.0° on gamma': 0.5153819, '-5.0° on gamma': 0.51141536}"
0.2,"[0.0, -0.025, 0.33]","[-0.037929759996904566, -0.08823869072240857, 0.25261123240366057]","[-0.04563927856901939, 0.8273408705756236, 1.1823183542817413]",0.10689630511756458,"[-0.03876800120259503, -0.08438550273912143, 0.2583154374127704]",-5.0° on beta,"[-0.03844528957934923, 0.7554055688745294, 1.1905843084724967]",0.10083785185209494,0.55267644,"{'+5.0° on alpha': 0.50135875, '-5.0° on alpha': 0.53999186, '+5.0° on beta': 0.5121572, '-5.0° on beta': 0.55267644, '+5.0° on gamma': 0.52940845, '-5.0° on gamma': 0.5240277}"
0.21,"[0.0, -0.025, 0.33]","[-0.03876800120259503, -0.08438550273912143, 0.2583154374127704]","[-0.03844528957934923, 0.7554055688745294, 1.1905843084724967]",0.10083785185209494,"[-0.03969185630671333, -0.08011487807708387, 0.2637390529956022]",-5.0° on beta,"[-0.031331405060150086, 0.6829334494447248, 1.1987698048212438]",0.09488733498441305,0.5706655,"{'+5.0° on alpha': 0.5200862, '-5.0° on alpha': 0.55737174, '+5.0° on beta': 0.5215718, '-5.0° on beta': 0.5706655, '+5.0° on gamma': 0.54844767, '-5.0° on gamma': 0.54383075}"
0.22,"[0.0, -0.025, 0.33]","[-0.03969185630671333, -0.08011487807708387, 0.2637390529956022]","[-0.031331405060150086, 0.6829334494447248, 1.1987698048212438]",0.09488733498441305,"[-0.04069665122388806, -0.07542486984951771, 0.26886161000144776]",-5.0° on beta,"[-0.024296733085367173, 0.6099551934215754, 1.2068325739965884]",0.08908865052179578,0.58779913,"{'+5.0° on alpha': 0.53870666, '-5.0° on alpha': 0.5748918, '+5.0° on beta': 0.54105604, '-5.0° on beta': 0.58779913, '+5.0° on gamma': 0.5653069, '-5.0° on gamma': 0.5635732}"
0.23,"[0.0, -0.025, 0.33]","[-0.04069665122388806, -0.07542486984951771, 0.26886161000144776]","[-0.024296733085367173, 0.6099551934215754, 1.2068325739965884]",0.08908865052179578,"[-0.04175098790589683, -0.07033162228718758, 0.27365404260077875]",-5.0° on beta,"[-0.01734039166094803, 0.5364760274990554, 1.2148012242023833]",0.08350429860517028,0.6049999,"{'+5.0° on alpha': 0.5569817, '-5.0° on alpha': 0.59242606, '+5.0° on beta': 0.5605011, '-5.0° on beta': 0.6049999, '+5.0° on gamma': 0.5822457, '-5.0° on gamma': 0.5834489}"
0.24,"[0.0, -0.025, 0.33]","[-0.04175098790589683, -0.07033162228718758, 0.27365404260077875]","[-0.01734039166094803, 0.5364760274990554, 1.2148012242023833]",0.08350429860517028,"[-0.04285962934202211, -0.06487700021778697, 0.2780724400466383]",-5.0° on beta,"[-0.010461508554982846, 0.46250157639315104, 1.2226601220414528]",0.07825339900870046,0.6277702,"{'+5.0° on alpha': 0.57500243, '-5.0° on alpha': 0.60994416, '+5.0° on beta': 0.578966, '-5.0° on beta': 0.6277702, '+5.0° on gamma': 0.60025465, '-5.0° on gamma': 0.60697174}"
0.25,"[0.0, -0.025, 0.33]","[-0.04285962934202211, -0.06487700021778697, 0.2780724400466383]","[-0.010461508554982846, 0.46250157639315104, 1.2226601220414528]",0.07825339900870046,"[-0.04402835629308702, -0.059055221604559796, 0.2820938850011322]",-5.0° on beta,"[-0.0036592213131005913, 0.3880373934199812, 1.2304212027354184]",0.0734387508791608,0.6512636,"{'+5.0° on alpha': 0.59504145, '-5.0° on alpha': 0.6330178, '+5.0° on beta': 0.5962659, '-5.0° on beta': 0.6512636, '+5.0° on gamma': 0.6215972, '-5.0° on gamma': 0.6303812}"
0.26,"[0.0, -0.025, 0.33]","[-0.04402835629308702, -0.059055221604559796, 0.2820938850011322]","[-0.0036592213131005913, 0.3880373934199812, 1.2304212027354184]",0.0734387508791608,"[-0.04523301563696663, -0.052918875496528586, 0.2856823635778476]",-5.0° on beta,"[0.003067322940394135, 0.3130889698667185, 1.238079176374546]",0.06920651855606394,0.68104374,"{'+5.0° on alpha': 0.6176441, '-5.0° on alpha': 0.6564152, '+5.0° on beta': 0.6154785, '-5.0° on beta': 0.68104374, '+5.0° on gamma': 0.64320314, '-5.0° on gamma': 0.6535245}"
0.27,"[0.0, -0.025, 0.33]","[-0.04523301563696663, -0.052918875496528586, 0.2856823635778476]","[0.003067322940394135, 0.3130889698667185, 1.238079176374546]",0.06920651855606394,"[-0.04645645239719063, -0.046603976199266164, 0.28873789591550886]",-5.0° on beta,"[0.009605415638221704, 0.23983546816178736, 1.2455684919893102]",0.06578369851589587,0.7282594,"{'+5.0° on alpha': 0.63880634, '-5.0° on alpha': 0.7085909, '+5.0° on beta': 0.63936013, '-5.0° on beta': 0.7282594, '+5.0° on gamma': 0.6647639, '-5.0° on gamma': 0.6818955}"
0.28,"[0.0, -0.025, 0.33]","[-0.04645645239719063, -0.046603976199266164, 0.28873789591550886]","[0.009605415638221704, 0.23983546816178736, 1.2455684919893102]",0.06578369851589587,"[-0.0476944221481707, -0.040104921812750334, 0.2913153025619143]",-5.0° on beta,"[0.016083112128460808, 0.16608564229375844, 1.2530265234807842]",0.06324098657432103,0.7688934,"{'+5.0° on alpha': 0.6570802, '-5.0° on alpha': 0.75957364, '+5.0° on beta': 0.6637351, '-5.0° on beta': 0.7688934, '+5.0° on gamma': 0.69554335, '-5.0° on gamma': 0.72664285}"
0.29,"[0.0, -0.025, 0.33]","[-0.0476944221481707, -0.040104921812750334, 0.2913153025619143]","[0.016083112128460808, 0.16608564229375844, 1.2530265234807842]",0.06324098657432103,"[-0.03456066709135567, -0.04029464903328304, 0.2941872471872135]",-5.0° on alpha,"[-0.06054659053524558, 0.16775267666573024, 1.2603715471706085]",0.05206648886645391,0.8159484,"{'+5.0° on alpha': 0.66256535, '-5.0° on alpha': 0.8159484, '+5.0° on beta': 0.69689786, '-5.0° on beta': 0.7712137, '+5.0° on gamma': 0.7368771, '-5.0° on gamma': 0.7719292}"
0.3,"[0.0, -0.025, 0.33]","[-0.03456066709135567, -0.04029464903328304, 0.2941872471872135]","[-0.06054659053524558, 0.16775267666573024, 1.2603715471706085]",0.05206648886645391,"[-0.035780770718944616, -0.03352068441771905, 0.29637249199047117]",-5.0° on beta,"[-0.054575152906937596, 0.09381393919277592, 1.2676545045554937]",0.049836481728940014,0.8474249,"{'+5.0° on alpha': 0.7428175, '-5.0° on alpha': 0.8341546, '+5.0° on beta': 0.7392375, '-5.0° on beta': 0.8474249, '+5.0° on gamma': 0.796677, '-5.0° on gamma': 0.82038003}"
0.31,"[0.0, -0.025, 0.33]","[-0.035780770718944616, -0.03352068441771905, 0.29637249199047117]","[-0.054575152906937596, 0.09381393919277592, 1.2676545045554937]",0.049836481728940014,"[-0.02223749125441151, -0.033703600743511496, 0.2983338317924359]",-5.0° on alpha,"[-0.13170644326060188, 0.09502740951750521, 1.2748459837497466]",0.03966112570442532,0.8878582,"{'+5.0° on alpha': 0.7469442, '-5.0° on alpha': 0.8878582, '+5.0° on beta': 0.7941136, '-5.0° on beta': 0.8495917, '+5.0° on gamma': 0.8237284, '-5.0° on gamma': 0.8545651}"
0.32,"[0.0, -0.025, 0.33]","[-0.02223749125441151, -0.033703600743511496, 0.2983338317924359]","[-0.13170644326060188, 0.09502740951750521, 1.2748459837497466]",0.03966112570442532,"[-0.02326665411942623, -0.026786183536034073, 0.3001345979743074]",-5.0° on beta,"[-0.12623195449980296, 0.020580902963529546, 1.2819652145122875]",0.037900790014109946,0.8935283,"{'+5.0° on alpha': 0.83019686, '-5.0° on alpha': 0.89229006, '+5.0° on beta': 0.8184249, '-5.0° on beta': 0.8935283, '+5.0° on gamma': 0.8723606, '-5.0° on gamma': 0.8929549}"
0.33,"[0.0, -0.025, 0.33]","[-0.02326665411942623, -0.026786183536034073, 0.3001345979743074]","[-0.12623195449980296, 0.020580902963529546, 1.2819652145122875]",0.037900790014109946,"[-0.009384593183470605, -0.026956121833224506, 0.3011307696985791]",-5.0° on alpha,"[-0.20385560876303366, 0.021472344326184167, 1.2890019575140634]",0.03041922845902144,0.94485134,"{'+5.0° on alpha': 0.8332926, '-5.0° on alpha': 0.94485134, '+5.0° on beta': 0.8792674, '-5.0° on beta': 0.89820194, '+5.0° on gamma': 0.8806506, '-5.0° on gamma': 0.89848024}"
0.34,"[0.0, -0.025, 0.33]","[-0.009384593183470605, -0.026956121833224506, 0.3011307696985791]","[-0.20385560876303366, 0.021472344326184167, 1.2890019575140634]",0.03041922845902144,"[-0.008855703306933088, -0.027632663271427684, 0.3038300910980718]",-5.0° on gamma,"[-0.19872900615202393, 0.027321552081131184, 1.2172922956083259]",0.027752811189073655,0.95796484,"{'+5.0° on alpha': 0.88640386, '-5.0° on alpha': 0.92807686, '+5.0° on beta': 0.88039213, '-5.0° on beta': 0.94098014, '+5.0° on gamma': 0.92191476, '-5.0° on gamma': 0.95796484}"
0.35,"[0.0, -0.025, 0.33]","[-0.008855703306933088, -0.027632663271427684, 0.3038300910980718]","[-0.19872900615202393, 0.027321552081131184, 1.2172922956083259]",0.027752811189073655,"[-0.007951814121241754, -0.028283769294931906, 0.3063927881360272]",-5.0° on gamma,"[-0.1937219933187193, 0.0329378863243015, 1.1468399525443411]",0.025125981385641743,0.95829624,"{'+5.0° on alpha': 0.8919896, '-5.0° on alpha': 0.93208015, '+5.0° on beta': 0.89190847, '-5.0° on beta': 0.93147457, '+5.0° on gamma': 0.9358966, '-5.0° on gamma': 0.95829624}"
0.36,"[0.0, -0.025, 0.33]","[-0.007951814121241754, -0.028283769294931906, 0.3063927881360272]","[-0.1937219933187193, 0.0329378863243015, 1.1468399525443411]",0.025125981385641743,"[-0.0068530481122179585, -0.028936408346126735, 0.3088562866851682]",-5.0° on gamma,"[-0.18877073301760827, 0.03849428863174431, 1.075822305884608]",0.022572465346869564,0.9527247,"{'+5.0° on alpha': 0.89740866, '-5.0° on alpha': 0.9353064, '+5.0° on beta': 0.9024447, '-5.0° on beta': 0.92495656, '+5.0° on gamma': 0.9490087, '-5.0° on gamma': 0.9527247}"
0.37,"[0.0, -0.025, 0.33]","[-0.0068530481122179585, -0.028936408346126735, 0.3088562866851682]","[-0.18877073301760827, 0.03849428863174431, 1.075822305884608]",0.022572465346869564,"[-0.010055404531542614, -0.029324972176778225, 0.30568389929094064]",+5.0° on gamma,"[-0.18409062580000812, 0.043608051954657334, 1.1548536116707906]",0.026666257673621758,0.96091837,"{'+5.0° on alpha': 0.9026075, '-5.0° on alpha': 0.9375827, '+5.0° on beta': 0.90757895, '-5.0° on beta': 0.9346025, '+5.0° on gamma': 0.96091837, '-5.0° on gamma': 0.9558857}"
0.38,"[0.0, -0.025, 0.33]","[-0.010055404531542614, -0.029324972176778225, 0.30568389929094064]","[-0.18409062580000812, 0.043608051954657334, 1.1548536116707906]",0.026666257673621758,"[-0.008940786396336404, -0.029985192973532204, 0.3081421086393403]",-5.0° on gamma,"[-0.1792306513072739, 0.049067785255690666, 1.0847465255404867]",0.02413622226245592,0.96359056,"{'+5.0° on alpha': 0.8914488, '-5.0° on alpha': 0.9356623, '+5.0° on beta': 0.88978726, '-5.0° on beta': 0.9283047, '+5.0° on gamma': 0.9357919, '-5.0° on gamma': 0.96359056}"
0.39,"[0.0, -0.025, 0.33]","[-0.008940786396336404, -0.029985192973532204, 0.3081421086393403]","[-0.1792306513072739, 0.049067785255690666, 1.0847465255404867]",0.02413622226245592,"[-0.007674151134016462, -0.030691593295909137, 0.31051973225954543]",-5.0° on gamma,"[-0.174424792102013, 0.05445896497932701, 1.0129757184643111]",0.021697180948537058,0.9673416,"{'+5.0° on alpha': 0.89693385, '-5.0° on alpha': 0.9361999, '+5.0° on beta': 0.89643174, '-5.0° on beta': 0.9267599, '+5.0° on gamma': 0.9490754, '-5.0° on gamma': 0.9673416}"
0.4,"[0.0, -0.025, 0.33]","[-0.007674151134016462, -0.030691593295909137, 0.31051973225954543]","[-0.174424792102013, 0.05445896497932701, 1.0129757184643111]",0.021697180948537058,"[-0.006226029551411099, -0.03140726579258835, 0.31276471992126015]",-5.0° on gamma,"[-0.1696724456001113, 0.05978982827101298, 0.9407876652024987]",0.0194131753792244,0.9634803,"{'+5.0° on alpha': 0.90571624, '-5.0° on alpha': 0.94519764, '+5.0° on beta': 0.8948149, '-5.0° on beta': 0.93616223, '+5.0° on gamma': 0.9613866, '-5.0° on gamma': 0.9634803}"
0.41,"[0.0, -0.025, 0.33]","[-0.006226029551411099, -0.03140726579258835, 0.31276471992126015]","[-0.1696724456001113, 0.05978982827101298, 0.9407876652024987]",0.0194131753792244,"[-0.00970800118233694, -0.031735256955277104, 0.30991086081537805]",+5.0° on gamma,"[-0.16518035878606385, 0.06469606805051464, 1.018780265616856]",0.023306275686796843,0.96926457,"{'+5.0° on alpha': 0.91702974, '-5.0° on alpha': 0.9401095, '+5.0° on beta': 0.90333086, '-5.0° on beta': 0.9463788, '+5.0° on gamma': 0.96926457, '-5.0° on gamma': 0.95657426}"
0.42,"[0.0, -0.025, 0.33]","[-0.00970800118233694, -0.031735256955277104, 0.30991086081537805]","[-0.16518035878606385, 0.06469606805051464, 1.018780265616856]",0.023306275686796843,"[-0.008240466747963172, -0.03245584626142728, 0.3121533153649014]",-5.0° on gamma,"[-0.1605156307479061, 0.06993423561914813, 0.9475134304041788]",0.021023774355785684,0.96624345,"{'+5.0° on alpha': 0.8995988, '-5.0° on alpha': 0.94272596, '+5.0° on beta': 0.88366836, '-5.0° on beta': 0.9296698, '+5.0° on gamma': 0.94800556, '-5.0° on gamma': 0.96624345}"
0.43,"[0.0, -0.025, 0.33]","[-0.008240466747963172, -0.03245584626142728, 0.3121533153649014]","[-0.1605156307479061, 0.06993423561914813, 0.9475134304041788]",0.021023774355785684,"[-0.011651094141977672, -0.032744064555212504, 0.30925996883459017]",+5.0° on gamma,"[-0.15610636401141376, 0.07474843864722525, 1.025205168634094]",0.025017342450442185,0.95722467,"{'+5.0° on alpha': 0.91074413, '-5.0° on alpha': 0.9491155, '+5.0° on beta': 0.89403105, '-5.0° on beta': 0.9377371, '+5.0° on gamma': 0.95722467, '-5.0° on gamma': 0.9564223}"
0.44,"[0.0, -0.025, 0.33]","[-0.011651094141977672, -0.032744064555212504, 0.30925996883459017]","[-0.15610636401141376, 0.07474843864722525, 1.025205168634094]",0.025017342450442185,"[-0.01019994537572256, -0.0334803025698393, 0.3115327428970939]",-5.0° on gamma,"[-0.1515276390066851, 0.07988866212844759, 0.9537412670574446]",0.022737502111018798,0.95972604,"{'+5.0° on alpha': 0.8925473, '-5.0° on alpha': 0.93611026, '+5.0° on beta': 0.87091285, '-5.0° on beta': 0.9234344, '+5.0° on gamma': 0.9329383, '-5.0° on gamma': 0.95972604}"
0.45,"[0.0, -0.025, 0.33]","[-0.01019994537572256, -0.0334803025698393, 0.3115327428970939]","[-0.1515276390066851, 0.07988866212844759, 0.9537412670574446]",0.022737502111018798,"[-0.008681149633725108, -0.03423291532189552, 0.31360214146225673]",-5.0° on gamma,"[-0.14707719176260792, 0.08482713693677235, 0.8837995169593524]",0.02072435400508925,0.9521181,"{'+5.0° on alpha': 0.90375465, '-5.0° on alpha': 0.9493534, '+5.0° on beta': 0.8851031, '-5.0° on beta': 0.93816674, '+5.0° on gamma': 0.9426496, '-5.0° on gamma': 0.9521181}"
0.46,"[0.0, -0.025, 0.33]","[-0.008681149633725108, -0.03423291532189552, 0.31360214146225673]","[-0.14707719176260792, 0.08482713693677235, 0.8837995169593524]",0.02072435400508925,"[-0.007010441076405536, -0.034985243015149575, 0.3155323518156496]",-5.0° on gamma,"[-0.1426678556513199, 0.0897236516282578, 0.8133115122728718]",0.018925226713133066,0.9542871,"{'+5.0° on alpha': 0.91457736, '-5.0° on alpha': 0.9499899, '+5.0° on beta': 0.90067697, '-5.0° on beta': 0.9530259, '+5.0° on gamma': 0.9452503, '-5.0° on gamma': 0.9542871}"
0.47,"[0.0, -0.025, 0.33]","[-0.007010441076405536, -0.034985243015149575, 0.3155323518156496]","[-0.1426678556513199, 0.0897236516282578, 0.8133115122728718]",0.018925226713133066,"[-0.005170149270404603, -0.03573157344477171, 0.3173089404914241]",-5.0° on gamma,"[-0.1382992509035832, 0.09457423001570753, 0.7424257540125914]",0.017405749151616814,0.9735405,"{'+5.0° on alpha': 0.92556363, '-5.0° on alpha': 0.9414136, '+5.0° on beta': 0.9146146, '-5.0° on beta': 0.96979874, '+5.0° on gamma': 0.94279844, '-5.0° on gamma': 0.9735405}"
0.48,"[0.0, -0.025, 0.33]","[-0.005170149270404603, -0.03573157344477171, 0.3173089404914241]","[-0.1382992509035832, 0.09457423001570753, 0.7424257540125914]",0.017405749151616814,"[-0.0032074091766172473, -0.036483169412360385, 0.31891626258910777]",-5.0° on gamma,"[-0.13397100127932804, 0.0993794228278686, 0.6711360365407426]",0.016278817167498072,0.9876305,"{'+5.0° on alpha': 0.93631, '-5.0° on alpha': 0.92982537, '+5.0° on beta': 0.92582864, '-5.0° on beta': 0.98547196, '+5.0° on gamma': 0.94479215, '-5.0° on gamma': 0.9876305}"
0.49,"[0.0, -0.025, 0.33]","[-0.0032074091766172473, -0.036483169412360385, 0.31891626258910777]","[-0.13397100127932804, 0.0993794228278686, 0.6711360365407426]",0.016278817167498072,"[-0.003588759100167425, -0.027582015855877415, 0.3214419031758429]",-5.0° on beta,"[-0.12968272322933005, 0.02351705649445135, 0.6677963454690605]",0.009632601881666477,0.9909103,"{'+5.0° on alpha': 0.94695973, '-5.0° on alpha': 0.9058531, '+5.0° on beta': 0.92908347, '-5.0° on beta': 0.9909103, '+5.0° on gamma': 0.9627289, '-5.0° on gamma': 0.98868227}"
0.5,"[0.0, -0.025, 0.33]","[-0.003588759100167425, -0.027582015855877415, 0.3214419031758429]","[-0.12968272322933005, 0.02351705649445135, 0.6677963454690605]",0.009632601881666477,"[-0.0015300598366179505, -0.028311814684979033, 0.32288620659887945]",-5.0° on gamma,"[-0.12543406905303645, 0.027671633797063944, 0.5973567697588908]",0.007994701755856846,0.9973704,"{'+5.0° on alpha': 0.9544478, '-5.0° on alpha': 0.9370962, '+5.0° on beta': 0.98018295, '-5.0° on beta': 0.99609876, '+5.0° on gamma': 0.996707, '-5.0° on gamma': 0.9973704}"
