index,current_distance,current_norm_distance,current_unit_vector,action_to_next,pred_norm_distance,pred_unit_vector,next_norm_distance,next_unit_vector
0.0,0.6586922587485601,2.1956408624952,"(0.354, 0.075, -0.932)","[0.27140501781908427, -0.6052525579513256, -1.4416096399998495]",1.1621615,"[0.46039015, -0.23135874, -1.0667058]",2.0788672724381048,"(0.372, -0.007, -0.928)"
0.1,0.6236601817314313,2.0788672724381048,"(0.372, -0.007, -0.928)","[0.5889605599033154, -0.1601448701425955, 0.1639899563775915]",1.1533625,"[0.5885997, -0.115831286, -0.96845007]",2.255244808255594,"(0.525, 0.042, -0.85)"
0.2,0.6765734424766782,2.255244808255594,"(0.525, 0.042, -0.85)","[1.3510382445394598, 1.3872887851164553, 1.5343123845790763]",1.0467405,"[0.63613135, -0.077195495, -0.7614493]",1.6512203306668303,"(0.615, 0.214, -0.759)"
0.3,0.4953660992000491,1.6512203306668303,"(0.615, 0.214, -0.759)","[0.547014977864389, -0.5362445435901282, -1.5667222485292671]",1.1519461,"[0.49597192, -0.23497316, -0.9890491]",2.1104937830248716,"(0.436, 0.004, -0.9)"
0.4,0.6331481349074615,2.1104937830248716,"(0.436, 0.004, -0.9)","[0.9173113728639609, 1.1081216914890926, 1.4642254258611935]",1.038989,"[0.58076525, -0.044582278, -0.8630679]",1.8413065760366176,"(0.603, 0.2, -0.772)"
0.5,0.5523919728109853,1.8413065760366176,"(0.603, 0.2, -0.772)","[-0.3269366937084355, -0.9970485407439093, -0.23537766017381412]",1.112598,"[0.35688865, -0.3515521, -1.0152137]",1.951726423113899,"(0.283, -0.124, -0.951)"
0.6,0.5855179269341697,1.951726423113899,"(0.283, -0.124, -0.951)","[-0.15697607722615828, -0.16449364607042316, -0.6779670764433738]",1.0769402,"[0.4454366, -0.1166285, -1.041229]",2.071819558252415,"(0.27, 0.04, -0.962)"
0.7,0.6215458674757245,2.071819558252415,"(0.27, 0.04, -0.962)","[-0.6636115594573494, -1.5296595832193578, -1.277477657028261]",1.018113,"[0.21858804, -0.4160162, -0.9999591]",1.6111607343052445,"(0.271, -0.14, -0.952)"
0.8,0.48334822029157337,1.6111607343052445,"(0.271, -0.14, -0.952)","[-1.4653412998389357, -0.005181192340425058, -0.8637435128642443]",0.713927,"[0.067405924, -0.06401357, -1.0041356]",1.2979243810685954,"(0.112, 0.118, -0.987)"
0.9,0.3893773143205786,1.2979243810685954,"(0.112, 0.118, -0.987)","[0.13573452170884226, 0.7140014649714194, 0.234899821197904]",0.91655666,"[0.37588316, 0.15350291, -1.0748438]",2.118420834486239,"(0.42, 0.196, -0.886)"
1.0,0.2974877374025568,0.991625791341856,"(-0.457, -0.19, -0.869)","[-1.4722026896629092, 0.6522168749462218, 0.5027931190264068]",0.82706696,"[-0.18828742, 0.35209507, -0.7174066]",1.0330224988903594,"(-0.961, 0.042, -0.275)"
1.1,0.3099067496671078,1.0330224988903594,"(-0.961, 0.042, -0.275)","[-1.5609885500796687, 0.3989639309903479, -0.65995815828857]",0.9841321,"[-0.72383314, 0.45000553, 0.111605525]",1.0533145102159986,"(-0.997, -0.039, -0.071)"
1.2,0.31599435306479956,1.0533145102159986,"(-0.997, -0.039, -0.071)","[-0.08706444936801012, -1.5635899870149712, -0.5510745622525881]",0.61737263,"[-0.71760577, -0.43477747, -0.19368201]",1.0154710037647898,"(-0.567, -0.648, -0.508)"
1.3,0.30464130112943694,1.0154710037647898,"(-0.567, -0.648, -0.508)","[-0.8162388131488342, 1.1557134778410554, 1.251704843899485]",0.9659129,"[0.26662153, 0.426679, -0.781174]",0.7594183378537566,"(-0.763, 0.079, -0.642)"
1.4,0.22782550135612697,0.7594183378537566,"(-0.763, 0.079, -0.642)","[-1.2833355897238898, 1.5178308500403679, -1.5706133528829735]",0.88337153,"[-0.8030036, 0.8939559, 0.0522902]",0.6851708625960725,"(-0.994, -0.004, -0.113)"
1.5,0.20555125877882174,0.6851708625960725,"(-0.994, -0.004, -0.113)","[-0.10077041580783384, 0.4506762719584749, -1.456648215251226]",0.5980532,"[-0.8689204, 0.025390238, -0.01417613]",0.9089385611474725,"(-0.725, -0.075, -0.685)"
1.6,0.27268156834424173,0.9089385611474725,"(-0.725, -0.075, -0.685)","[-0.268465772361226, -1.4764567298105367, -1.3667794030977354]",0.6765829,"[-0.4448356, 0.1408051, -0.76707494]",1.0127113561564005,"(-0.698, -0.531, -0.481)"
1.7,0.30381340684692015,1.0127113561564005,"(-0.698, -0.531, -0.481)","[0.3411245765404126, -0.8489959842521094, 0.5472013375480009]",0.7340728,"[0.019883528, 0.42114955, -1.0989202]",0.8814302844684637,"(-0.207, -0.59, -0.781)"
1.8,0.2644290853405391,0.8814302844684637,"(-0.207, -0.59, -0.781)","[-0.9600598701794394, 1.4120088350284128, -0.7795423064688817]",0.8279264,"[0.35811716, 0.07534313, -0.8842943]",0.7434992228176913,"(-0.949, 0.154, -0.276)"
1.9,0.2230497668453074,0.7434992228176913,"(-0.949, 0.154, -0.276)","[0.9502612393165537, 0.008602943534931719, -0.5769136225632083]",0.62433344,"[0.21438108, 0.60024655, -0.7052777]",0.6209309360815757,"(0.064, -0.273, -0.96)"
