index,act_pos,next_pos,changes
0.37,"(0.15825183834469433, -0.007034880968161632, 0.2568006402659163)","(-0.0013025180193166272, -0.09835739833161536, 0.2321261714777123)","[0.4098850044878384, 1.0424471520863132, -1.1719564009587686]"
0.38,"(-0.0013025180193166272, -0.09835739833161536, 0.2321261714777123)","(-0.1477622594315333, 0.03484721704708352, 0.26300220879595426)","[0.811270115777941, -0.49690492285649174, -0.06767155844641899]"
0.39,"(-0.1477622594315333, 0.03484721704708352, 0.26300220879595426)","(0.19276989858949156, -0.011197104873459313, 0.1977216570855874)","[-1.125260125815732, -0.12350847817376191, -0.07396862962958461]"
0.4,"(0.19276989858949156, -0.011197104873459313, 0.1977216570855874)","(-0.08052917741165488, -0.022241073992789843, 0.27537450460948415)","[0.7471152649681015, -0.05758407222046055, -1.450450852309861]"
0.41,"(-0.08052917741165488, -0.022241073992789843, 0.27537450460948415)","(0.08822751831926458, -0.10818941186494113, 0.17439334727110128)","[-0.648685184285729, 1.149441706812676, -0.8977365614732669]"
0.42,"(0.08822751831926458, -0.10818941186494113, 0.17439334727110128)","(-0.1710692500160601, -0.08421908028704586, 0.15910114750521137)","[1.33196899791986, 0.4893666310946302, -0.06477440078582505]"
0.43,"(-0.1710692500160601, -0.08421908028704586, 0.15910114750521137)","(0.05477169876286674, -0.10141528334126848, 0.19708473852583291)","[-1.0802744317576656, 1.2713000403779953, 1.164416308636161]"
0.44,"(0.05477169876286674, -0.10141528334126848, 0.19708473852583291)","(-0.009165657513862124, 0.09946725394812202, 0.26288017061261604)","[-0.15045160510889893, -1.2052669361657304, 0.8145871287284452]"
0.45,"(-0.009165657513862124, 0.09946725394812202, 0.26288017061261604)","(-0.09720330372916697, -0.08142151792485064, 0.21927755734175267)","[0.4775489276506656, 0.7617030845862827, 1.3010684545104498]"
0.46,"(-0.09720330372916697, -0.08142151792485064, 0.21927755734175267)","(-0.021585362685397527, 0.08340345436283604, 0.2372235027126055)","[-0.20309216429652352, -1.5480946328588074, 1.4863009650319188]"
0.47,"(-0.021585362685397527, 0.08340345436283604, 0.2372235027126055)","(0.13976259289092038, -0.07956384956155113, 0.08641513914376)","[-1.4794315442963808, 0.6699697780214358, -1.0463282135311034]"
0.48,"(0.13976259289092038, -0.07956384956155113, 0.08641513914376)","(0.1533147874862801, 0.018887375780110762, 0.24992817886334687)","[-0.9892399888546092, -0.35226312797519965, 0.7114644354591751]"
0.49,"(0.1533147874862801, 0.018887375780110762, 0.24992817886334687)","(0.04147312847092009, 0.009538797339337343, 0.32504266843786295)","[-0.09389994556547464, -0.25888505970741477, -0.40806898244714573]"
0.5,"(0.04147312847092009, 0.009538797339337343, 0.32504266843786295)","(0.18111190980249375, 0.03017491219564059, 0.21529356565809155)","[-1.1114686815485646, -0.42084984697066813, 0.2613864883180454]"
0.51,"(0.18111190980249375, 0.03017491219564059, 0.21529356565809155)","(0.049521019475777465, 0.08434235062682986, 0.2279500029776497)","[-0.013748786032842358, -1.5447855170533258, -1.4585054837859035]"
0.52,"(0.049521019475777465, 0.08434235062682986, 0.2279500029776497)","(-0.16392506686848768, -0.07032475782234344, 0.15581556296805701)","[1.1331585347402588, 0.42976743844262394, 0.9222893227612303]"
0.53,"(-0.16392506686848768, -0.07032475782234344, 0.15581556296805701)","(0.028331436751536467, 0.05071412345292916, 0.30875322448960985)","[0.03383863966212686, -0.6772902685091099, -0.7747311333155884]"
0.54,"(0.028331436751536467, 0.05071412345292916, 0.30875322448960985)","(-0.13720074367964002, 0.006892958432052064, 0.2688075699356488)","[0.8981216958182654, -0.2809404065101528, -0.6632304938487527]"
0.55,"(-0.13720074367964002, 0.006892958432052064, 0.2688075699356488)","(-0.0990054990506184, -0.09934323944541622, 0.2063492136103411)","[1.1754478081381732, 0.8883766872605557, -0.9730969177752424]"
0.56,"(-0.0990054990506184, -0.09934323944541622, 0.2063492136103411)","(0.12403210471248546, -0.11126427969770591, 0.09847385819880107)","[-1.5105051390027724, 0.9352304466999247, -0.543726068427892]"
0.57,"(0.12403210471248546, -0.11126427969770591, 0.09847385819880107)","(-0.011014261602451657, 0.12443695384704803, 0.22878942063673569)","[0.05879487681131966, -1.5605234725561385, 0.2684915351465173]"
0.58,"(-0.011014261602451657, 0.12443695384704803, 0.22878942063673569)","(-0.18426122815270216, 0.036111843929944015, 0.19303254603775558)","[1.1246619395852155, -0.43937831405537103, 0.5280832063257341]"
0.59,"(-0.18426122815270216, 0.036111843929944015, 0.19303254603775558)","(-0.1515365097193954, -0.03113498808003546, 0.1852702536790985)","[0.926160856777351, 0.13269655043617737, 1.545698753872693]"
0.6,"(-0.1515365097193954, -0.03113498808003546, 0.1852702536790985)","(0.14770289644902812, 0.05767963568292881, 0.19169794795182543)","[-1.2990518176455506, -0.8407977527730738, 1.2452659088710578]"
0.61,"(0.14770289644902812, 0.05767963568292881, 0.19169794795182543)","(0.11722569846178207, -0.11583379592551246, 0.16874276256209625)","[-1.248434989311336, 0.986439125144081, 0.3965526066746841]"
0.62,"(0.11722569846178207, -0.11583379592551246, 0.16874276256209625)","(0.1239100570638746, -0.11141914166486099, 0.1820624722352742)","[-0.9084857844208716, 0.8896404169107291, -0.37475478594007894]"
0.63,"(0.1239100570638746, -0.11141914166486099, 0.1820624722352742)","(0.17322893653244317, 0.034700867827094944, 0.22907555174255373)","[-0.9460629290712241, -0.44161625292616147, 0.07262278001536106]"
0.64,"(0.17322893653244317, 0.034700867827094944, 0.22907555174255373)","(-0.1515363305123162, -0.08282326405226298, 0.17038269021856683)","[1.0457319290591407, 0.6093160694821034, 0.8627994817851959]"
0.65,"(-0.1515363305123162, -0.08282326405226298, 0.17038269021856683)","(0.0900298091707826, -0.12142702696044572, 0.18259240573431962)","[-1.0871323524097551, 1.1470365976961796, 0.40892040794948337]"
0.66,"(0.0900298091707826, -0.12142702696044572, 0.18259240573431962)","(-0.17714484208696274, -0.05676867431952991, 0.1704450434913387)","[1.4374846494563198, 0.3043728306913223, -0.7269117510267821]"
0.67,"(-0.17714484208696274, -0.05676867431952991, 0.1704450434913387)","(-0.017477538007539005, -0.07858928177522419, 0.3001575735303565)","[-0.014787062464169446, 0.4893369798675163, 0.4603622998641266]"
0.68,"(-0.017477538007539005, -0.07858928177522419, 0.3001575735303565)","(0.01695709529186195, 0.09773316935853743, 0.28429015907537536)","[-0.1840212540312449, -1.0263798409460598, 0.27192648457120683]"
0.69,"(0.01695709529186195, 0.09773316935853743, 0.28429015907537536)","(-0.17610591696724612, -0.040518814727552935, 0.2197812431055709)","[1.0227939095274148, 0.14634412253349252, 0.06342357878782177]"
0.7,"(-0.17610591696724612, -0.040518814727552935, 0.2197812431055709)","(-0.19014158437417286, -0.006612041101912377, 0.17514845580472005)","[1.1164280402105, -0.13800397932958103, 0.7484637156443592]"
0.71,"(-0.19014158437417286, -0.006612041101912377, 0.17514845580472005)","(-0.020722904918626238, -0.0991618989475553, 0.21077791810006938)","[-0.2691514003505549, 1.3180328769243437, 1.20633031023012]"
0.72,"(-0.020722904918626238, -0.0991618989475553, 0.21077791810006938)","(0.06084882252768443, 0.09627246926953018, 0.2281434598380988)","[-0.8753015457051275, -1.3762751833433733, 1.1247334011219499]"
0.73,"(0.06084882252768443, 0.09627246926953018, 0.2281434598380988)","(-0.08828237798966113, 0.10703528947861353, 0.21222059568736917)","[0.4961063352507282, -1.3164876294251837, 0.7772362922445931]"
0.74,"(-0.08828237798966113, 0.10703528947861353, 0.21222059568736917)","(-0.08551168340047954, 0.09646870833333539, 0.26471128789866605)","[0.5364399326213641, -0.9418951288349054, -0.04733527843822502]"
0.75,"(-0.08551168340047954, 0.09646870833333539, 0.26471128789866605)","(-0.14640880908332943, 0.10170783708675148, 0.1481450607946127)","[1.2281478679170472, -1.0905459087041203, 0.5066922540472214]"
0.76,"(-0.14640880908332943, 0.10170783708675148, 0.1481450607946127)","(0.08762828821322562, -0.082399662751386, 0.21223229105908942)","[-0.37487863409358374, 0.8820702633738309, -1.4039522921681507]"
0.77,"(0.08762828821322562, -0.082399662751386, 0.21223229105908942)","(0.08710511047227885, 0.1204814890656017, 0.20740330698298218)","[-0.8701740870292328, -1.3483138098539906, 0.24387705475674326]"
0.78,"(0.08710511047227885, 0.1204814890656017, 0.20740330698298218)","(0.09580245081991656, 0.11995363354723462, 0.19132796907952626)","[-1.0741591171417908, -1.3837420451883937, 0.36681951884073805]"
0.79,"(0.09580245081991656, 0.11995363354723462, 0.19132796907952626)","(-0.17519680498701323, 0.0386276302432411, 0.2126487115444553)","[1.147411098194384, -0.4643405219155869, -0.5308598326556155]"
0.8,"(-0.17519680498701323, 0.0386276302432411, 0.2126487115444553)","(0.0660635614622086, -0.11469687480988457, 0.17215339075948874)","[-1.3205578097441213, 1.3749319545792733, 0.799533271217364]"
0.81,"(0.0660635614622086, -0.11469687480988457, 0.17215339075948874)","(-0.18474068330182356, -0.047715050173762916, 0.11293672715563738)","[1.3584410467241472, 0.22464057575249904, 0.7517777754609904]"
0.82,"(-0.18474068330182356, -0.047715050173762916, 0.11293672715563738)","(-0.06240517413834587, -0.09999973015380142, 0.2194800230485971)","[0.8853815084959605, 1.0652736471214386, -1.1094190672561848]"
0.83,"(-0.06240517413834587, -0.09999973015380142, 0.2194800230485971)","(-0.06502490834652801, -0.09526169902553613, 0.1953045789579762)","[1.1646165376819442, 1.247476807030987, -1.284029775700143]"
0.84,"(-0.06502490834652801, -0.09526169902553613, 0.1953045789579762)","(0.09221786104972111, -0.11826421637087606, 0.17293750266413005)","[-0.8190097963178286, 1.1734390242578154, -0.5522270228200572]"
0.85,"(0.09221786104972111, -0.11826421637087606, 0.17293750266413005)","(0.16803363826860157, 0.05491065440852881, 0.10046111710903496)","[-1.4407567988027061, -0.747820362899918, -1.098162069311877]"
0.86,"(0.16803363826860157, 0.05491065440852881, 0.10046111710903496)","(0.1280939906226852, 0.11012810655403925, 0.1379463756226073)","[-1.2431313662658963, -1.3037747922504055, -0.5567762978048321]"
0.87,"(0.1280939906226852, 0.11012810655403925, 0.1379463756226073)","(-0.1795227571204013, 0.017073617490019833, 0.17922162936248365)","[0.9785694338364214, -0.3568881753170988, 1.0206167359196643]"
0.88,"(-0.1795227571204013, 0.017073617490019833, 0.17922162936248365)","(0.012242862858272937, 0.06857093613595605, 0.311649851746182)","[-0.151860018705506, -0.7204497049657793, 0.1702313368389756]"
0.89,"(0.012242862858272937, 0.06857093613595605, 0.311649851746182)","(-0.013506876251233545, -0.12137876143057341, 0.18173631909663585)","[0.5357329167853608, 1.5021417230374052, -0.4496531793905105]"
0.9,"(-0.013506876251233545, -0.12137876143057341, 0.18173631909663585)","(-0.17654569416870672, -0.0502695609606632, 0.16256356521382817)","[1.0995961072927218, 0.22437618719311686, 0.8995241896076075]"
0.91,"(-0.17654569416870672, -0.0502695609606632, 0.16256356521382817)","(0.055283160684171516, -0.06581365262495746, 0.30571818939117135)","[-0.26860137793645555, 0.32049783622413686, -0.13517689449676593]"
0.92,"(0.055283160684171516, -0.06581365262495746, 0.30571818939117135)","(-0.06600268271306639, -0.1047860555812124, 0.23627277964716592)","[0.25755906814240975, 0.909183471393811, 0.8011152123847648]"
0.93,"(-0.06600268271306639, -0.1047860555812124, 0.23627277964716592)","(-0.09800706620313794, -0.08041316254836224, 0.19124173379024176)","[0.5505772347342087, 0.8963634368300043, 1.492520587488479]"
0.94,"(-0.09800706620313794, -0.08041316254836224, 0.19124173379024176)","(-0.145506816143247, -0.07746615509712669, 0.18590121502609872)","[0.8994177589668823, 0.5528818106893248, 0.9583303494402113]"
0.95,"(-0.145506816143247, -0.07746615509712669, 0.18590121502609872)","(0.0648596663839359, 0.10192297243126175, 0.2681560220190854)","[-0.3878030176330883, -1.0756162822133595, -0.06012401079457193]"
0.96,"(0.0648596663839359, 0.10192297243126175, 0.2681560220190854)","(0.18136945487194284, 0.04307208656033628, 0.18362809162692184)","[-1.3691932256991926, -0.563166056364656, 0.6892489234513218]"
0.97,"(0.18136945487194284, 0.04307208656033628, 0.18362809162692184)","(0.06489299960172451, -0.11423853741306003, 0.20090841404797707)","[-0.3589840675795555, 1.1791645205392989, -0.7782107498320215]"
0.98,"(0.06489299960172451, -0.11423853741306003, 0.20090841404797707)","(-0.17038481295710733, 0.009656706647121635, 0.22831899499027158)","[1.127358205532801, -0.27947286585545433, -0.6174542121179303]"
0.99,"(-0.17038481295710733, 0.009656706647121635, 0.22831899499027158)","(0.16717275311115365, -0.07429111808464056, 0.17585639035245265)","[-1.3358336403385176, 0.45272339468556233, 0.6213008136661429]"
0.1,"(0.16717275311115365, -0.07429111808464056, 0.17585639035245265)","(-0.018780048926507698, 0.10329939713556605, 0.27796673238056435)","[0.09309936720893405, -1.0934754211944258, 0.1944448506513346]"
0.101,"(-0.018780048926507698, 0.10329939713556605, 0.27796673238056435)","(0.06836582708049811, -0.12386335645181737, 0.10658594210096337)","[-1.4991594612429828, 1.3670507165591115, -0.3996429804194225]"
0.102,"(0.06836582708049811, -0.12386335645181737, 0.10658594210096337)","(0.1524675961979846, -0.022287860276329365, 0.2571177829371433)","[-0.890742425455653, -0.05306055870977961, 0.45726823498467983]"
0.103,"(0.1524675961979846, -0.022287860276329365, 0.2571177829371433)","(0.10552975779725034, -0.030142094292176652, 0.2833287176355135)","[-0.34633443084380083, 0.01893057645115595, -0.8752532806437641]"
0.104,"(0.10552975779725034, -0.030142094292176652, 0.2833287176355135)","(0.07916094477328568, -0.09861840495901567, 0.10584505044414427)","[-1.1865671832574076, 1.354190547485402, -1.1840174911587478]"
0.105,"(0.07916094477328568, -0.09861840495901567, 0.10584505044414427)","(0.2011398113065276, 0.02255109850188851, 0.15977197611916139)","[-1.3677378564143958, -0.3729362626931685, 0.13902101600169037]"
0.106,"(0.2011398113065276, 0.02255109850188851, 0.15977197611916139)","(-0.11584055667168294, -0.10349558781828773, 0.11511046035485323)","[1.2307750076453705, 1.008449837606345, 0.9521007263437892]"
0.107,"(-0.11584055667168294, -0.10349558781828773, 0.11511046035485323)","(0.025939980222715098, -0.06110747175053425, 0.29769055614828693)","[0.027696521997529686, 0.33776426801490494, -0.9308443002775555]"
0.108,"(0.025939980222715098, -0.06110747175053425, 0.29769055614828693)","(0.09979800893257879, 0.0723440518599028, 0.24585613614439464)","[-0.9766322123023111, -1.0172476540250839, 1.1475558001114459]"
0.109,"(0.09979800893257879, 0.0723440518599028, 0.24585613614439464)","(0.04151645722838673, -0.12189745921702014, 0.17053202400050266)","[-1.0856870947647397, 1.4363812916408905, 0.42199454076358717]"
0.11,"(0.04151645722838673, -0.12189745921702014, 0.17053202400050266)","(0.01716189634580144, -0.0988555636675889, 0.19171744124658605)","[-0.9333897609434296, 1.563157499020616, 1.1362718213055802]"
0.111,"(0.01716189634580144, -0.0988555636675889, 0.19171744124658605)","(0.07742402829641812, -0.10726089813011146, 0.23622648431932583)","[-0.4177454816225688, 0.814913147691391, -0.6235982472474481]"
0.112,"(0.07742402829641812, -0.10726089813011146, 0.23622648431932583)","(-0.08453639137306031, 0.06354131867891008, 0.2774085971896396)","[0.676536944966499, -0.8443356133971315, -0.9005520090676032]"
0.113,"(-0.08453639137306031, 0.06354131867891008, 0.2774085971896396)","(0.06991048856962796, -0.09095759933752744, 0.13140525477939027)","[-0.7700130227449326, 1.5448508494870383, -1.3084513561128746]"
0.114,"(0.06991048856962796, -0.09095759933752744, 0.13140525477939027)","(-0.06364480723109837, -0.09205372287295775, 0.17636399902438948)","[0.2819984843126193, 1.3101195383516784, 1.3322158990661577]"
0.115,"(-0.06364480723109837, -0.09205372287295775, 0.17636399902438948)","(-0.05293746282558471, -0.12347600878073851, 0.18544274819846118)","[0.4436379966891416, 1.2749889927065032, 0.3637283607307925]"
0.116,"(-0.05293746282558471, -0.12347600878073851, 0.18544274819846118)","(0.03427527443396777, -0.06631165827346086, 0.2791527305951673)","[0.0572974974985403, 0.4100197712672099, -1.2453818525017832]"
0.117,"(0.03427527443396777, -0.06631165827346086, 0.2791527305951673)","(-0.1577640726019118, -0.011816698401820975, 0.18008682364522732)","[0.9203696752984224, -0.21467021848257734, 1.5693732958706441]"
0.118,"(-0.1577640726019118, -0.011816698401820975, 0.18008682364522732)","(-0.1183386481740259, 0.08256417998690775, 0.20056529937073547)","[1.2954943864371076, -1.261415811915547, -1.2230751026599955]"
0.119,"(-0.1183386481740259, 0.08256417998690775, 0.20056529937073547)","(0.02432587940554487, -0.12011820563141637, 0.1851080365956988)","[0.010820532411274937, 1.3677831127487752, -0.5291905871188848]"
0.12,"(0.02432587940554487, -0.12011820563141637, 0.1851080365956988)","(-0.07880586038578302, -0.09417413567502889, 0.2637712129913356)","[0.6524444321132278, 0.5390303168263737, -0.4921558484652862]"
0.121,"(-0.07880586038578302, -0.09417413567502889, 0.2637712129913356)","(0.06444941936696044, 0.04526482359778976, 0.26804656079319483)","[-0.6905147884100716, -0.9326504825759743, 1.5507445059237095]"
0.122,"(0.06444941936696044, 0.04526482359778976, 0.26804656079319483)","(-0.08468867639280131, -0.08389758860663993, 0.19244417781830975)","[1.3045796612449494, 0.9450768144514805, -1.491785173156921]"
0.123,"(-0.08468867639280131, -0.08389758860663993, 0.19244417781830975)","(0.16164348821815389, 0.030308785839794496, 0.17373803219079206)","[-1.459543620896547, -0.6652806326651912, 1.4409906929061693]"
0.124,"(0.16164348821815389, 0.030308785839794496, 0.17373803219079206)","(-0.19031241411381492, -0.05416998495729449, 0.16153898016487978)","[1.2759634877694843, 0.2002840808885509, 0.09291403833815638]"
0.125,"(-0.19031241411381492, -0.05416998495729449, 0.16153898016487978)","(0.021284932127329688, -0.11561760035389466, 0.19699722320991492)","[0.1244895195673054, 1.385351426519082, -0.7692207544386659]"
0.126,"(0.021284932127329688, -0.11561760035389466, 0.19699722320991492)","(0.037568564937730184, -0.12251621037549484, 0.1667634530639149)","[-1.0343473758957735, 1.5357447825177866, 0.36805337459370385]"
0.127,"(0.037568564937730184, -0.12251621037549484, 0.1667634530639149)","(-0.04028321466638546, -0.06513523671712694, 0.30108542668487714)","[0.35000970243410334, 0.3422162427090475, -0.6844779681769806]"
0.128,"(-0.04028321466638546, -0.06513523671712694, 0.30108542668487714)","(-0.08438461169903878, 0.1112656101317192, 0.2382229813193445)","[0.6743474265079278, -1.230351225051407, -0.20830815257146365]"
0.129,"(-0.08438461169903878, 0.1112656101317192, 0.2382229813193445)","(-0.17791591673620152, 0.02605727115761038, 0.1747271217705058)","[1.4722584838914035, -0.4768879559453163, -1.0627487823064268]"
0.13,"(-0.17791591673620152, 0.02605727115761038, 0.1747271217705058)","(0.11895513662864338, 0.04740024007423714, 0.25349647175016776)","[-0.4614554045719664, -0.7142632277902154, -1.1263868080328925]"
0.131,"(0.11895513662864338, 0.04740024007423714, 0.25349647175016776)","(-0.07490830383010252, -0.07726725791274482, 0.2762202907256602)","[0.2853236622509924, 0.49202126361418574, 0.7386770304418644]"
0.132,"(-0.07490830383010252, -0.07726725791274482, 0.2762202907256602)","(0.1276948531266007, -0.08947449396611143, 0.11563292288022975)","[-1.2287454760473826, 0.8590494143782071, -1.1987039098070236]"
0.133,"(0.1276948531266007, -0.08947449396611143, 0.11563292288022975)","(-0.19324646883420776, 0.0521312634403144, 0.1385367723247721)","[1.3603010319275468, -0.5975930134553835, 0.24843140878235132]"
0.134,"(-0.19324646883420776, 0.0521312634403144, 0.1385367723247721)","(-0.17606565594186577, -0.037995067514335165, 0.20499311181259283)","[1.2190021905323125, 0.1261262434383871, -0.6582857539595353]"
0.135,"(-0.17606565594186577, -0.037995067514335165, 0.20499311181259283)","(0.16404075883150548, 0.008463285455461662, 0.19882053727482701)","[-0.8596386692486766, -0.3356749157591738, -1.280965942884602]"
0.136,"(0.16404075883150548, 0.008463285455461662, 0.19882053727482701)","(0.1061240772836947, 0.08942783310658778, 0.24379994510514974)","[-0.5170715919212293, -1.0401985814507502, -0.6561976450886802]"
0.137,"(0.1061240772836947, 0.08942783310658778, 0.24379994510514974)","(0.04674053642558963, -0.11464885134170122, 0.16504074685330195)","[-0.3324179892348462, 1.5465123634946147, -0.7047502441597155]"
0.138,"(0.04674053642558963, -0.11464885134170122, 0.16504074685330195)","(0.19839032026198294, -0.006400800406083439, 0.1812690596803872)","[-1.231565431000326, -0.19038312943390479, -0.07452563497940547]"
