index,goal_position,current_pos,current_angles,current_distance,next_pos,change_to_next,next_angles,next_distance,next_utility,utility_of_changes
0.0,"[-0.18879698265140005, 0.0031380292656530816, 0.18638672100768028]","[-0.0010470892725087926, -0.025004089200246514, 0.3299968396732982]","[0.005611892798512486, -6.143530129065766e-12, -8.881784197001252e-16]",,"[-0.01853705600523687, -0.02500558320452165, 0.3291610611982443]",+5.0° on alpha,"[0.08625950787781722, -1.2783996083953753e-11, -8.881784197001252e-16]",0.22397548473276968,0.216904,"{'+5.0° on alpha': 0.216904, '-5.0° on alpha': 0.13928993, '+5.0° on beta': 0.17453006, '-5.0° on beta': 0.18217267, '+5.0° on gamma': 0.18829006, '-5.0° on gamma': 0.16931818}"
0.1,"[-0.18879698265140005, 0.0031380292656530816, 0.18638672100768028]","[-0.01853705600523687, -0.02500558320452165, 0.3291610611982443]","[0.08625950787781722, -1.2783996083953753e-11, -8.881784197001252e-16]",0.22397548473276968,"[-0.03517921238409977, -0.025004868498946033, 0.3269533941427444]",+5.0° on alpha,"[0.1672730651365293, -1.5507151118754336e-11, -1.3322676295501878e-15]",0.2101176614012865,0.25028026,"{'+5.0° on alpha': 0.25028026, '-5.0° on alpha': 0.17599927, '+5.0° on beta': 0.20961721, '-5.0° on beta': 0.21735232, '+5.0° on gamma': 0.22304958, '-5.0° on gamma': 0.2050538}"
0.2,"[-0.18879698265140005, 0.0031380292656530816, 0.18638672100768028]","[-0.03517921238409977, -0.025004868498946033, 0.3269533941427444]","[0.1672730651365293, -1.5507151118754336e-11, -1.3322676295501878e-15]",0.2101176614012865,"[-0.0516885725883966, -0.02500275699855658, 0.32335829215516687]",+5.0° on alpha,"[0.24864986237809816, -1.9684254226604025e-11, -1.3322676295501878e-15]",0.19583623583030701,0.28190553,"{'+5.0° on alpha': 0.28190553, '-5.0° on alpha': 0.2115277, '+5.0° on beta': 0.24345925, '-5.0° on beta': 0.2509658, '+5.0° on gamma': 0.25614083, '-5.0° on gamma': 0.2394537}"
0.3,"[-0.18879698265140005, 0.0031380292656530816, 0.18638672100768028]","[-0.0516885725883966, -0.02500275699855658, 0.32335829215516687]","[0.24864986237809816, -1.9684254226604025e-11, -1.3322676295501878e-15]",0.19583623583030701,"[-0.06791413581616575, -0.025015623960213697, 0.3183816554717197]",+5.0° on alpha,"[0.3303872173555842, -2.332756210421394e-11, -1.3322676295501878e-15]",0.18118486022049177,0.32218805,"{'+5.0° on alpha': 0.32218805, '-5.0° on alpha': 0.24566245, '+5.0° on beta': 0.27549064, '-5.0° on beta': 0.28261065, '+5.0° on gamma': 0.2872065, '-5.0° on gamma': 0.2721343}"
0.4,"[-0.18879698265140005, 0.0031380292656530816, 0.18638672100768028]","[-0.06791413581616575, -0.025015623960213697, 0.3183816554717197]","[0.3303872173555842, -2.332756210421394e-11, -1.3322676295501878e-15]",0.18118486022049177,"[-0.08372872381131506, -0.02501298843526615, 0.3120476760390551]",+5.0° on alpha,"[0.4124824676484744, -2.7139179792357027e-11, -1.3322676295501878e-15]",0.166200163756483,0.3654272,"{'+5.0° on alpha': 0.3654272, '-5.0° on alpha': 0.27783638, '+5.0° on beta': 0.3166936, '-5.0° on beta': 0.32052684, '+5.0° on gamma': 0.32908827, '-5.0° on gamma': 0.30958897}"
0.5,"[-0.18879698265140005, 0.0031380292656530816, 0.18638672100768028]","[-0.08372872381131506, -0.02501298843526615, 0.3120476760390551]","[0.4124824676484744, -2.7139179792357027e-11, -1.3322676295501878e-15]",0.166200163756483,"[-0.099005480747256, -0.02500861184119049, 0.30438792498790884]",+5.0° on alpha,"[0.49493297047057405, -3.0880187296133954e-11, -1.7763568394002505e-15]",0.15092723863035085,0.4082731,"{'+5.0° on alpha': 0.4082731, '-5.0° on alpha': 0.316807, '+5.0° on beta': 0.36008382, '-5.0° on beta': 0.3638997, '+5.0° on gamma': 0.37208995, '-5.0° on gamma': 0.3533431}"
0.6,"[-0.18879698265140005, 0.0031380292656530816, 0.18638672100768028]","[-0.099005480747256, -0.02500861184119049, 0.30438792498790884]","[0.49493297047057405, -3.0880187296133954e-11, -1.7763568394002505e-15]",0.15092723863035085,"[-0.11363334285553965, -0.02500428578994981, 0.29544243283243066]",+5.0° on alpha,"[0.577736102563799, -3.463274111936698e-11, -2.220446049250313e-15]",0.13540572707848683,0.4506989,"{'+5.0° on alpha': 0.4506989, '-5.0° on alpha': 0.36050338, '+5.0° on beta': 0.40313596, '-5.0° on beta': 0.40698743, '+5.0° on gamma': 0.41550946, '-5.0° on gamma': 0.3969403}"
0.7,"[-0.18879698265140005, 0.0031380292656530816, 0.18638672100768028]","[-0.11363334285553965, -0.02500428578994981, 0.29544243283243066]","[0.577736102563799, -3.463274111936698e-11, -2.220446049250313e-15]",0.13540572707848683,"[-0.1274870258350562, -0.025004731608725763, 0.2852700120424105]",+5.0° on alpha,"[0.6608892600373828, -3.831024386613535e-11, -2.6645352591003757e-15]",0.11970309536646732,0.49340367,"{'+5.0° on alpha': 0.49340367, '-5.0° on alpha': 0.4040061, '+5.0° on beta': 0.44572514, '-5.0° on beta': 0.44943044, '+5.0° on gamma': 0.45914254, '-5.0° on gamma': 0.43994868}"
0.8,"[-0.18879698265140005, 0.0031380292656530816, 0.18638672100768028]","[-0.1274870258350562, -0.025004731608725763, 0.2852700120424105]","[0.6608892600373828, -3.831024386613535e-11, -2.6645352591003757e-15]",0.11970309536646732,"[-0.1404785244078687, -0.02500303163405931, 0.2739220766342819]",+5.0° on alpha,"[0.7443898582287725, -4.2019276946803075e-11, -3.552713678800501e-15]",0.10387026138538799,0.53619057,"{'+5.0° on alpha': 0.53619057, '-5.0° on alpha': 0.44692856, '+5.0° on beta': 0.48873612, '-5.0° on beta': 0.49625158, '+5.0° on gamma': 0.50254476, '-5.0° on gamma': 0.4825778}"
0.9,"[-0.18879698265140005, 0.0031380292656530816, 0.18638672100768028]","[-0.1404785244078687, -0.02500303163405931, 0.2739220766342819]","[0.7443898582287725, -4.2019276946803075e-11, -3.552713678800501e-15]",0.10387026138538799,"[-0.1524892866477473, -0.02500787472426342, 0.2614798196791125]",+5.0° on alpha,"[0.8282353315604256, -4.566391709204254e-11, -2.220446049250313e-15]",0.0880307569465395,0.583192,"{'+5.0° on alpha': 0.583192, '-5.0° on alpha': 0.48997197, '+5.0° on beta': 0.53181964, '-5.0° on beta': 0.5489051, '+5.0° on gamma': 0.54575366, '-5.0° on gamma': 0.52407354}"
