index,current_distance,current_norm_distance,current_unit_vector,action_to_next,pred_norm_distance,pred_unit_vector,next_norm_distance,next_unit_vector
0.0,0.40058238410630487,0.9441817340848082,"(0.541, 0.255, -0.802)","[0.44192179508605006, 0.6273683762273323, 0.32820131732626273]",1.1148044,"[0.56871414, 0.7434112, -0.2599171]",1.4341053308831073,"(0.698, 0.398, -0.596)"
0.1,0.4302315992649322,1.0140656044032228,"(0.698, 0.398, -0.596)","[0.5757374816103297, 1.4753500499194945, 1.2817160784575465]",1.123971,"[0.58667296, 0.8249953, -0.038560957]",1.2075240503794913,"(0.791, 0.471, -0.391)"
0.2,0.3622572151138474,0.8538484444691846,"(0.791, 0.471, -0.391)","[0.6982957039574705, 0.622816267910609, 0.06827478289186023]",1.1959546,"[0.6773312, 0.70155346, -0.16229728]",1.4651031542285984,"(0.743, 0.391, -0.543)"
1.0,0.24507913780385346,0.5776570675615238,"(0.426, 0.79, -0.441)","[0.16419875323689934, 0.891892939151463, 0.5192281602822633]",0.91416836,"[0.19191897, 0.8124222, -0.54767835]",1.057402913837201,"(0.469, 0.878, -0.097)"
1.1,0.3172208741511603,0.7476967708206994,"(0.469, 0.878, -0.097)","[1.213231869270637, 0.10188935567446311, 0.1897465106589383]",1.2356981,"[0.77401865, 0.582534, -0.028067708]",1.2122470325553338,"(0.816, 0.566, 0.115)"
1.2,0.36367410976660014,0.8571880971931459,"(0.816, 0.566, 0.115)","[1.2080303893409428, 0.6225982013277566, 1.4222118432601716]",1.2073534,"[0.74682105, 0.6417165, 0.106300086]",1.185314288495379,"(0.69, 0.671, 0.272)"
