index,current_distance,current_norm_distance,current_unit_vector,action_to_next,pred_norm_distance,pred_unit_vector,next_norm_distance,next_unit_vector
0.0,0.07739080163121391,0.18241186878298093,"(-0.730402, -0.48746, -0.478432)","[1.2713341828650628, 1.2551246100269624, 1.3171324598508931]",0.23855916,"[-0.1994034, -0.088789254, 1.301507]",0.4620915034881366,"(0.157789, 0.156195, 0.975041)"
0.1,0.19604882138708915,0.4620915034881366,"(0.157789, 0.156195, 0.975041)","[1.0781493477855275, 0.11955758942311308, 1.1323424792864192]",0.3164375,"[0.77906543, -0.070905566, 0.884213]",0.41655503578241315,"(0.652791, -0.148083, 0.742923)"
0.2,0.17672933432348958,0.41655503578241315,"(0.652791, -0.148083, 0.742923)","[0.07475504126661553, 0.6608203087286085, 1.0491280579009716]",0.19503376,"[0.5152585, -0.03381294, 0.11948982]",0.08384502906044493,"(-0.131948, 0.555405, 0.821045)"
0.3,0.03557243317045425,0.08384502906044493,"(-0.131948, 0.555405, 0.821045)","[0.7371420462540186, 1.4560908056104587, 0.15385677196816014]",0.19696695,"[-0.3263118, 0.56029165, 0.57734525]",0.3329363451089863,"(-0.049556, 0.452751, 0.890259)"
0.4,0.1412529283980173,0.3329363451089863,"(-0.049556, 0.452751, 0.890259)","[0.7911855989779298, 0.34626119921522996, 0.568371833968488]",0.22455922,"[0.4669823, 0.51182616, 0.67105496]",0.25999433554253576,"(0.831997, 0.005071, 0.554757)"
0.5,0.1103062546393306,0.25999433554253576,"(0.831997, 0.005071, 0.554757)","[0.9229144942015, 0.34243397013874083, 0.6573614430901953]",0.27201974,"[0.9324662, -0.15399349, 0.3443299]",0.3177141816193631,"(0.77547, -0.004644, 0.631367)"
0.6,0.1347947113813116,0.3177141816193631,"(0.77547, -0.004644, 0.631367)","[1.1463262016257685, 0.43918814195451844, 1.3052091595649886]",0.2542902,"[0.90791863, -0.19595015, 0.7979623]",0.42488925657729176,"(0.545032, -0.010819, 0.838345)"
0.7,0.18026524474746833,0.42488925657729176,"(0.545032, -0.010819, 0.838345)","[0.5639796511194347, 1.559040271486866, 0.748276109744813]",0.35301578,"[0.14607182, 0.2271623, 1.2822788]",0.3513021233987005,"(-0.008368, 0.331855, 0.943293)"
0.8,0.14904486822027266,0.3513021233987005,"(-0.008368, 0.331855, 0.943293)","[1.5079217136058667, 1.0823139655087002, 0.14804507205877884]",0.3874939,"[0.08655218, 0.6149943, 1.1246974]",0.44894992828880076,"(0.291215, 0.312808, 0.904071)"
0.9,0.19047332322373514,0.44894992828880076,"(0.291215, 0.312808, 0.904071)","[0.6259659290699332, 1.1577580441889292, 1.0408811211775892]",0.3745444,"[0.013798006, 0.5467963, 1.1491082]",0.2980346731427822,"(0.250108, 0.330296, 0.910137)"
