index,current_distance,current_norm_distance,current_unit_vector,action_to_next,pred_norm_distance,pred_unit_vector,next_norm_distance,next_unit_vector
0.0,0.07739080163121391,0.18241186878298093,"(-0.73, -0.487, -0.478)","[0.48560354638603853, 0.8822206043181106, 1.2087017865540595]",0.30341122,"[0.76972187, 0.46564722, 0.14532316]",0.22780732484075783,"(0.389, 0.287, 0.875)"
0.1,0.0966504625193199,0.22780732484075783,"(0.389, 0.287, 0.875)","[0.8525325332842648, 0.40803114399242774, 0.45505777292422583]",0.53344285,"[0.5997879, 0.56759846, 0.4631079]",0.274146258114005,"(0.798, 0.078, 0.597)"
0.2,0.11631040688959832,0.274146258114005,"(0.798, 0.078, 0.597)","[0.6616653761011972, 0.5596064860264386, 1.0684813062564988]",0.5399001,"[0.6623521, 0.58118016, 0.49760392]",0.24426222086887542,"(0.664, 0.127, 0.737)"
0.3,0.10363168365844082,0.24426222086887542,"(0.664, 0.127, 0.737)","[1.1572814984782738, 1.0258034998604144, 1.189167642355856]",0.67463243,"[0.55946904, 0.6473805, 0.76058435]",0.4240991019793698,"(0.317, 0.181, 0.931)"
0.4,0.17993001054284252,0.4240991019793698,"(0.317, 0.181, 0.931)","[0.3506012121839127, 0.2443082240852516, 0.6690581322561933]",0.53670603,"[0.7484498, 0.57844734, 0.23050961]",0.08548094228818856,"(0.947, -0.286, 0.143)"
0.5,0.036266492372516425,0.08548094228818856,"(0.947, -0.286, 0.143)","[0.9302324364313671, 1.0358620309520046, 0.8004131626267306]",0.57042587,"[0.52309036, 0.73198503, 0.8146603]",0.3467805930436965,"(0.362, 0.315, 0.877)"
0.6,0.14712654535505418,0.3467805930436965,"(0.362, 0.315, 0.877)","[1.3945148841971324, 0.8797102933829616, 1.4253746491975408]",0.83401763,"[0.5599063, 0.5498129, 0.634264]",0.4858868339666582,"(0.293, 0.093, 0.952)"
0.7,0.20614432511225167,0.4858868339666582,"(0.293, 0.093, 0.952)","[1.378979310335498, 0.7667657459828978, 1.4887910473461408]",0.85080266,"[0.6344925, 0.5881667, 0.6087698]",0.4839963449904086,"(0.329, 0.061, 0.942)"
0.8,0.20534225856733299,0.4839963449904086,"(0.329, 0.061, 0.942)","[1.3655196100180642, 0.7263168389055343, 0.33124470704041015]",0.6778549,"[0.59147346, 0.505508, 0.46800992]",0.4387403949629291,"(0.51, 0.205, 0.835)"
0.9,0.1861417850752508,0.4387403949629291,"(0.51, 0.205, 0.835)","[0.2515173732448895, 0.7618457756521452, 0.5001026849187609]",0.5490848,"[0.6997485, 0.5704114, 0.26776072]",0.11636280610336493,"(-0.026, 0.798, 0.602)"
