index,current_distance,current_norm_distance,current_unit_vector,action_to_next,pred_norm_distance,pred_unit_vector,next_norm_distance,next_unit_vector
0.0,0.08253347207038832,0.194533259252807,"(-0.768403, -0.457113, -0.44789)","[0.3467388047446128, 0.042174800216859654, 0.05897505956113744]",0.25695482,"[-0.00050955266, -0.65762305, -0.71255624]",0.09884957022633475,"(0.158991, -0.779349, -0.606083)"
0.1,0.04193832085465029,0.09884957022633475,"(0.158991, -0.779349, -0.606083)","[0.3784991786796462, 1.3523940349552015, 0.008272377372671369]",0.15238914,"[-0.5873138, 0.36606967, -0.21014068]",0.507797215464148,"(0.673764, -0.175133, 0.717893)"
0.2,0.21544011271340727,0.507797215464148,"(0.673764, -0.175133, 0.717893)","[1.48219332283173, 0.48494347651751285, 0.004635948123258656]",0.24752939,"[1.1930552, 0.028233886, 0.71980655]",0.507797215464148,"(0.673764, -0.175133, 0.717893)"
0.3,0.21544011271340727,0.507797215464148,"(0.673764, -0.175133, 0.717893)","[0.6432376715355246, 0.9466005818115245, 0.11122592089091579]",0.17164594,"[0.7832299, 0.30858767, 0.30048046]",0.507797215464148,"(0.673764, -0.175133, 0.717893)"
0.4,0.21544011271340727,0.507797215464148,"(0.673764, -0.175133, 0.717893)","[1.5275512420756567, 1.0736971713041026, 0.15337353006179863]",0.35311186,"[0.7457628, 0.14303893, 0.8614596]",0.507797215464148,"(0.673764, -0.175133, 0.717893)"
0.5,0.21544011271340727,0.507797215464148,"(0.673764, -0.175133, 0.717893)","[0.4466535513142268, 0.39124242259473474, 0.00947887455563715]",0.18250361,"[0.72482526, 0.064783335, -0.5446147]",0.507797215464148,"(0.673764, -0.175133, 0.717893)"
0.6,0.21544011271340727,0.507797215464148,"(0.673764, -0.175133, 0.717893)","[0.9187861308670976, 1.3910645350793664, 1.0485031856845575]",0.37253135,"[0.54873145, -0.15805697, 0.8384503]",0.507797215464148,"(0.673764, -0.175133, 0.717893)"
0.7,0.21544011271340727,0.507797215464148,"(0.673764, -0.175133, 0.717893)","[0.603084571553809, 0.12253715158810886, 1.2002945248623944]",0.25599098,"[1.0499187, -0.4384089, 0.06184098]",0.507797215464148,"(0.673764, -0.175133, 0.717893)"
0.8,0.21544011271340727,0.507797215464148,"(0.673764, -0.175133, 0.717893)","[1.0658685367213265, 0.609605897885654, 0.6023914603170828]",0.2244432,"[1.0076681, 0.07367629, 0.48358452]",0.507797215464148,"(0.673764, -0.175133, 0.717893)"
0.9,0.21544011271340727,0.507797215464148,"(0.673764, -0.175133, 0.717893)","[1.501712121195573, 1.5435397277268672, 0.48140431181256504]",0.44177222,"[0.47555846, -0.01527369, 1.1617078]",0.507797215464148,"(0.673764, -0.175133, 0.717893)"
