index,current_distance,current_norm_distance,current_unit_vector,action_to_next,pred_norm_distance,pred_unit_vector,next_norm_distance,next_unit_vector
0.0,0.40333872709296664,0.9506784968086233,"(0.582, 0.532, -0.615)","[0.22825166645787853, 0.7518309152097057, 0.4195483415392134]",1.144745,"[0.55804086, 0.79507726, -0.28882936]",1.0579320723513852,"(0.638, 0.651, -0.411)"
0.1,0.448842565436641,1.0579320723513852,"(0.638, 0.651, -0.411)","[1.3796640621588956, 1.0468740218752717, 0.9238293232142976]",1.2629422,"[0.6847339, 0.8140197, 0.012269378]",1.0736401518364707,"(0.761, 0.647, -0.05)"
0.2,0.4555069391506338,1.0736401518364707,"(0.761, 0.647, -0.05)","[0.7229925501460296, 1.268415444324155, 0.70781389402748]",1.2054796,"[0.6091399, 0.8445084, -0.075639635]",1.0550897276147224,"(0.705, 0.683, -0.191)"
1.0,0.25591004523632926,0.6031857612012151,"(0.813, 0.129, -0.568)","[0.7798232116095518, 0.7056732029824693, 0.8637119286796477]",1.0858876,"[0.8147857, 0.42687935, -0.014278412]",0.8279007115470959,"(0.957, 0.285, -0.045)"
1.1,0.3512485243704716,0.8279007115470959,"(0.957, 0.285, -0.045)","[0.285448869456633, 0.8098369787520938, 0.4508377074793262]",1.0036391,"[0.7980739, 0.5345993, -0.10932568]",0.7102806479612271,"(0.893, 0.382, -0.238)"
1.2,0.3013465576313752,0.7102806479612271,"(0.893, 0.382, -0.238)","[0.8492732687545073, 0.51351304573559, 1.1671529292658946]",1.1560389,"[0.8363109, 0.46604115, 0.01418373]",0.8464677038374324,"(0.975, 0.221, -0.011)"
