index,act_pos,next_pos,changes
0.0,"(8.771642922137032e-06, -0.02499929466086001, 0.32999841341537994)","(-0.0807138776702821, -0.10129060348394706, 0.19937635576969834)","[0.42929115625502867, 1.0824612598648033, 1.0897660798270017]"
0.1,"(-0.0807138776702821, -0.10129060348394706, 0.19937635576969834)","(0.0019443711176119899, -0.1009857740562657, 0.2237603293561408)","[-0.45829183327604167, 1.2141153250730534, 1.1518210197119472]"
0.2,"(0.0019443711176119899, -0.1009857740562657, 0.2237603293561408)","(-0.1700448287236354, 0.04478986504537039, 0.21514610325668035)","[1.1724918123211636, -0.5480458385318744, -0.5969211281092027]"
0.3,"(-0.1700448287236354, 0.04478986504537039, 0.21514610325668035)","(0.07203021649219986, -0.1264716886588178, 0.17046444556001428)","[-1.0841667023650314, 1.2933664395763782, 0.28215966689557814]"
0.4,"(0.07203021649219986, -0.1264716886588178, 0.17046444556001428)","(-0.012997315384914512, 0.10677308415372942, 0.24366780404678964)","[-0.16190527877286934, -1.3726955138616102, 0.8780684598899942]"
0.5,"(-0.012997315384914512, 0.10677308415372942, 0.24366780404678964)","(0.046893582901248336, 0.10362794444343022, 0.2287055593334052)","[-0.038224684703495354, -1.4498179197666536, -0.9930075193668474]"
0.6,"(0.046893582901248336, 0.10362794444343022, 0.2287055593334052)","(-0.16128701343076104, -0.01217769731997891, 0.18456188377496258)","[1.4694288264018494, -0.10192483595234586, -1.4468993193873214]"
0.7,"(-0.16128701343076104, -0.01217769731997891, 0.18456188377496258)","(0.20003093753337883, -0.02016799819376945, 0.1346001447941559)","[-1.2801280553048362, -0.0019387025165206002, -0.4439986207209253]"
0.8,"(0.20003093753337883, -0.02016799819376945, 0.1346001447941559)","(-0.14697099478475023, -0.10103833103491788, 0.15184105174694865)","[1.2220540174279324, 0.7827846361467825, 0.49623716555458774]"
0.9,"(-0.14697099478475023, -0.10103833103491788, 0.15184105174694865)","(0.07623434660378192, -0.0877927967940449, 0.2062248166609424)","[-0.28870520324021043, 1.0548005354594332, -1.385629043364672]"
0.1,"(0.07623434660378192, -0.0877927967940449, 0.2062248166609424)","(0.03165614539226053, -0.08557647395169087, 0.21366036592310658)","[0.20550874434543376, 1.2597108846850913, -1.5077053228938184]"
0.11,"(0.03165614539226053, -0.08557647395169087, 0.21366036592310658)","(0.045644085186514305, -0.10780678317408923, 0.18087113717389405)","[-1.1868541320066903, 1.5104986028815495, 0.9434624272011595]"
0.12,"(0.045644085186514305, -0.10780678317408923, 0.18087113717389405)","(0.10643767556750698, -0.08077247409214135, 0.18469536028749353)","[-0.6185715059858103, 0.8968575068394626, -1.4535509064132242]"
0.13,"(0.10643767556750698, -0.08077247409214135, 0.18469536028749353)","(-0.20407611198946954, -0.0037072025623629034, 0.15442504021475648)","[1.376328797436578, -0.13507486522886814, 0.03354124170459143]"
0.14,"(-0.20407611198946954, -0.0037072025623629034, 0.15442504021475648)","(-0.050590654353644945, 0.0215045254993343, 0.28363675781187614)","[0.5723826713032878, -0.5303477019798246, -1.556062047132603]"
0.15,"(-0.050590654353644945, 0.0215045254993343, 0.28363675781187614)","(0.07454476003908035, -0.002871634173103767, 0.275878246515135)","[-0.17924377597666313, -0.24360352010931988, -1.5630632752057427]"
0.16,"(0.07454476003908035, -0.002871634173103767, 0.275878246515135)","(-0.14819197934443523, 0.08528001340528366, 0.18520028753566814)","[0.9444536963935791, -1.0117665194883179, 0.7592653499070656]"
0.17,"(-0.14819197934443523, 0.08528001340528366, 0.18520028753566814)","(-0.08144440095529554, -0.07960837216853885, 0.20387260788217898)","[1.201068186156423, 0.9306680540782309, -1.5631234089989152]"
0.18,"(-0.08144440095529554, -0.07960837216853885, 0.20387260788217898)","(-0.03741340872861921, -0.003649048587280615, 0.32516662293759657)","[0.2787247698076567, -0.18271252197435767, -0.42608376927589453]"
0.19,"(-0.03741340872861921, -0.003649048587280615, 0.32516662293759657)","(0.08977157914166771, 0.09513997869522701, 0.21180060126609834)","[-0.449438081598873, -1.4097091338642687, -1.1171270942536644]"
0.2,"(0.08977157914166771, 0.09513997869522701, 0.21180060126609834)","(0.10837476081297659, 0.10864236654733082, 0.2125448806081967)","[-1.0220123936978667, -1.2565730958259251, 0.4669596344292761]"
0.21,"(0.10837476081297659, 0.10864236654733082, 0.2125448806081967)","(0.09751346948960303, -0.062981021878298, 0.2311015482643633)","[-1.0607509187295756, 0.4890207216958011, 1.525976568895618]"
0.22,"(0.09751346948960303, -0.062981021878298, 0.2311015482643633)","(-0.08738529079864214, 0.07325281525666169, 0.24597696895033858)","[0.2924433093984367, -1.1038064715955267, 1.2261664436772965]"
0.23,"(-0.08738529079864214, 0.07325281525666169, 0.24597696895033858)","(-0.1563816694450736, -0.09609666058929747, 0.1155456814653239)","[1.4463204902744689, 0.6442642481321473, 0.4221424356918563]"
0.24,"(-0.1563816694450736, -0.09609666058929747, 0.1155456814653239)","(-0.05179001707396905, -0.10488323309369513, 0.2521600754131156)","[0.1592792410901414, 0.8289913622621025, 0.675992371832472]"
