index,current_distance,current_norm_distance,current_unit_vector,action_to_next,pred_norm_distance,pred_unit_vector,next_norm_distance,next_unit_vector
0.0,0.34057630470861505,0.8027460485697253,"(0.744, 0.351, -0.569)","[0.9930152542633564, 1.2036681149878659, 1.4057141790359748]",1.121648,"[0.6573702, 0.7095307, 0.0496462]",0.9262868880366133,"(0.884, 0.467, 0.017)"
0.1,0.39299024391292414,0.9262868880366133,"(0.884, 0.467, 0.017)","[1.4124870558876566, 0.8866687698450745, 0.1456114112589094]",1.2502706,"[0.7472338, 0.7007117, 0.055081636]",1.0359539398468691,"(0.881, 0.474, 0.004)"
0.2,0.43951803351758517,1.0359539398468691,"(0.881, 0.474, 0.004)","[0.59956068112304, 1.4608861031470823, 0.11396425418223548]",1.1673551,"[0.5704241, 0.8533515, -0.05382219]",0.8737052131334554,"(0.795, 0.597, -0.105)"
0.3,0.3706817285788225,0.8737052131334554,"(0.795, 0.597, -0.105)","[1.5057881832797542, 1.2976317289837982, 1.3493019754414584]",1.1918191,"[0.6688825, 0.7313865, 0.16024333]",0.9012380565971209,"(0.861, 0.488, 0.141)"
0.4,0.3823629247699258,0.9012380565971209,"(0.861, 0.488, 0.141)","[1.359993126220153, 0.9575902999947474, 1.4125399742830191]",1.2178651,"[0.7024766, 0.67768115, 0.15254453]",0.9606486350712796,"(0.893, 0.44, 0.092)"
0.5,0.40756869851790173,0.9606486350712796,"(0.893, 0.44, 0.092)","[0.04919867084726401, 0.7036939235388211, 0.10953450181211365]",1.083012,"[0.5641042, 0.79048955, -0.28847644]",0.8465243565355047,"(0.733, 0.547, -0.404)"
0.6,0.35914986776750046,0.8465243565355047,"(0.733, 0.547, -0.404)","[1.513374431193316, 0.43570926981225677, 0.6154365213358495]",1.2546952,"[0.7861756, 0.6396699, 0.07848778]",1.079868396037193,"(0.928, 0.366, 0.076)"
0.7,0.45814935937616375,1.079868396037193,"(0.928, 0.366, 0.076)","[0.831996454967277, 1.446137599209378, 1.4994170561558826]",1.1570537,"[0.6614981, 0.78550416, 0.061644018]",0.8825025091071276,"(0.879, 0.477, 0.016)"
0.8,0.3744141051622757,0.8825025091071276,"(0.879, 0.477, 0.016)","[1.5497387812625802, 0.9166218808355948, 0.9153360830009691]",1.2415748,"[0.71439755, 0.67345357, 0.16976303]",0.9968523339217216,"(0.88, 0.46, 0.119)"
0.9,0.4229286270946116,0.9968523339217216,"(0.88, 0.46, 0.119)","[1.1619474175050999, 1.095328364943587, 0.21899280903224672]",1.2260602,"[0.6782687, 0.77448726, 0.023722827]",0.9890706944896788,"(0.854, 0.517, -0.047)"
