index,current_distance,current_norm_distance,current_unit_vector,action_to_next,pred_norm_distance,pred_unit_vector,next_norm_distance,next_unit_vector
0.0,0.40447782915953584,1.348259430531786,"(-0.002, 0.798, -0.603)","[1.0204590430317482, 1.1191910396114755, -0.5624696473943174]",1.0038943,"[-0.111504436, 0.93933856, -0.3066812]",1.4601916253022003,"(0.175, 0.95, -0.257)"
0.1,0.43805748759066004,1.4601916253022003,"(0.175, 0.95, -0.257)","[0.15654547285044784, 0.8870807134101254, 1.494495606642868]",1.0948716,"[-0.03273359, 0.7879715, -0.26277715]",1.3572246569704058,"(0.153, 0.927, -0.342)"
0.2,0.40716739709112176,1.3572246569704058,"(0.153, 0.927, -0.342)","[-1.4130310949545501, -0.5502458929059149, -0.21925108019826145]",0.6979101,"[-0.40694577, 0.78499424, -0.32329065]",1.0802116658494219,"(-0.612, 0.776, -0.156)"
1.0,0.37144255741080934,1.2381418580360313,"(0.197, 0.718, -0.667)","[-1.2664836043274312, 1.0075428611385384, -0.19892984795643356]",1.077999,"[-0.24544735, 0.8390635, -0.1978547]",1.2392900333091066,"(-0.128, 0.975, -0.179)"
1.1,0.37178700999273195,1.2392900333091066,"(-0.128, 0.975, -0.179)","[-0.6595800139591784, 1.2947228078265705, 0.700226389324325]",1.0210108,"[-0.46138304, 0.898085, -0.31422174]",1.285062837222239,"(0.111, 0.938, -0.33)"
1.2,0.38551885116667167,1.285062837222239,"(0.111, 0.938, -0.33)","[-1.3982198347000376, -0.4907975476058033, 0.458689027066436]",0.7714487,"[-0.5395165, 0.74956334, -0.4329517]",0.8351985521526188,"(-0.465, 0.809, -0.36)"
