index,act_pos,next_pos,changes
0.24,"(-0.06562748866123871, -0.0341695107667542, 0.2939362782369387)","(0.10596647843577157, 0.080491727217376, 0.08534950556042872)","[-1.4480327573991354, -1.5202276332189608, -1.4939933267227872]"
0.25,"(0.10596647843577157, 0.080491727217376, 0.08534950556042872)","(0.15499447734871427, 0.062432374382685445, 0.12107382528588023)","[-1.2442883563931306, -0.9616644746619529, -1.1863685052198607]"
0.26,"(0.15499447734871427, 0.062432374382685445, 0.12107382528588023)","(0.02165158043233635, -0.06428604207738586, 0.2944184639955931)","[0.1067870744173946, 0.39352987500960374, -0.8589712400292081]"
0.27,"(0.02165158043233635, -0.06428604207738586, 0.2944184639955931)","(-0.010320282790092514, 0.12118925534698441, 0.22972991022047054)","[0.2817667575987108, -1.552586382237731, -0.3315523139484003]"
0.28,"(-0.010320282790092514, 0.12118925534698441, 0.22972991022047054)","(-0.07948653721824375, -0.09070338827256097, 0.10976691136744193)","[1.1677606297373508, 1.3235002932728865, 1.3626331909348985]"
0.29,"(-0.07948653721824375, -0.09070338827256097, 0.10976691136744193)","(0.031152418357907934, -0.0017886117029562898, 0.3238908616752616)","[-0.23785995911361077, -0.22252383279779148, 0.5307408736016153]"
0.3,"(0.031152418357907934, -0.0017886117029562898, 0.3238908616752616)","(-0.005327661126172055, -0.12022428498591806, 0.1817848611184983)","[0.451646477071535, 1.5199931419828945, -0.4445339165212206]"
0.31,"(-0.005327661126172055, -0.12022428498591806, 0.1817848611184983)","(-0.044147688637591616, 0.07025467128266086, 0.3035625684465081)","[0.19660219230476467, -0.7644887794127025, 0.26421143682962067]"
0.32,"(-0.044147688637591616, 0.07025467128266086, 0.3035625684465081)","(0.015654019769584967, 0.020825045389360843, 0.3267907576347886)","[-0.13584431912019237, -0.35061237520995364, 0.3721920094675423]"
0.33,"(0.015654019769584967, 0.020825045389360843, 0.3267907576347886)","(-0.11585982919827606, -0.09665609333921542, 0.22419164669859293)","[0.7004369368561857, 0.7144366367669691, 0.5611082253945519]"
0.34,"(-0.11585982919827606, -0.09665609333921542, 0.22419164669859293)","(0.10435608970941815, 0.12047564438701391, 0.1494963441998727)","[-1.4146672958970858, -1.4747517051943748, 0.37312641992807827]"
0.35,"(0.10435608970941815, 0.12047564438701391, 0.1494963441998727)","(-0.1350390259778423, -0.05318298154361157, 0.25907813276490144)","[0.6666146788194808, 0.2588397689997291, 0.46456500853225435]"
0.36,"(-0.1350390259778423, -0.05318298154361157, 0.25907813276490144)","(-0.06880345212994078, -0.07901807318361087, 0.2169127865741818)","[0.22386273428390666, 0.9489097732656031, 1.557857645806637]"
0.37,"(-0.06880345212994078, -0.07901807318361087, 0.2169127865741818)","(0.058751294757745584, -0.11686317747232922, 0.21771330259582883)","[-0.3330989529921605, 1.124748314434993, -0.5655203373320971]"
0.38,"(0.058751294757745584, -0.11686317747232922, 0.21771330259582883)","(0.1318062029122492, -0.11327161357938446, 0.15231434416936937)","[-1.379012012230483, 0.9136282355151213, 0.19299327553567985]"
0.39,"(0.1318062029122492, -0.11327161357938446, 0.15231434416936937)","(0.017670076421299093, -0.03757718263773459, 0.30094392578168966)","[-0.33820960041234976, 0.14619073995234452, 1.1996587680399105]"
0.4,"(0.017670076421299093, -0.03757718263773459, 0.30094392578168966)","(-0.016230389423672054, -0.08668921713393732, 0.22115890562812526)","[-0.32061727617639896, 1.189794862062644, 1.4958046614115912]"
0.41,"(-0.016230389423672054, -0.08668921713393732, 0.22115890562812526)","(0.0026424880409010136, 0.07777962038130136, 0.2872510356406573)","[0.19896815869034995, -0.9252404649937942, -0.8817013700860836]"
0.42,"(0.0026424880409010136, 0.07777962038130136, 0.2872510356406573)","(-0.016125768035147908, -0.1167374952202993, 0.18543740959234217)","[0.6840901261202864, 1.4983951256940389, -0.5037159418439592]"
0.43,"(-0.016125768035147908, -0.1167374952202993, 0.18543740959234217)","(-0.168992325412872, 0.0557488854836898, 0.17635715164590549)","[1.4553792227690991, -0.7108007724381563, -0.9270468568741931]"
0.44,"(-0.168992325412872, 0.0557488854836898, 0.17635715164590549)","(0.05921238901953249, -0.11908678091078186, 0.1352705950915146)","[-0.9382948723283464, 1.4984287022439768, -0.42155951110010204]"
0.45,"(0.05921238901953249, -0.11908678091078186, 0.1352705950915146)","(0.03264948683043925, 0.07078656399793842, 0.27860834711122967)","[0.11201560695920178, -0.9496510616624501, -1.132340504393682]"
0.46,"(0.03264948683043925, 0.07078656399793842, 0.27860834711122967)","(-0.16866006714433607, 0.07409979624918273, 0.184972949889952)","[1.32386953847191, -0.7751659588444926, -0.2991285581472405]"
0.47,"(-0.16866006714433607, 0.07409979624918273, 0.184972949889952)","(-0.06971745189170597, -0.12126790169649038, 0.18025524393179368)","[0.6701091894194489, 1.275714952080086, 0.5189560732414322]"
0.48,"(-0.06971745189170597, -0.12126790169649038, 0.18025524393179368)","(0.20004730996443823, 0.0028109822305953268, 0.16459320561578772)","[-1.3300224820155557, -0.20652598014433973, 0.25963916072526466]"
0.49,"(0.20004730996443823, 0.0028109822305953268, 0.16459320561578772)","(-0.08499892528439944, -0.11597827178588282, 0.22115243959862357)","[0.7934557584944693, 0.9599285452437981, -0.24372487688747704]"
0.5,"(-0.08499892528439944, -0.11597827178588282, 0.22115243959862357)","(0.0752535138720192, -0.09212816499685625, 0.08014877506892731)","[-1.5181298544750301, 1.3108652600051522, -1.331844888301976]"
0.51,"(0.0752535138720192, -0.09212816499685625, 0.08014877506892731)","(-0.09642943465163968, -0.015874703712953256, 0.2702314809060371)","[0.8277075346702677, -0.08934020836686697, -1.3694045734918345]"
0.52,"(-0.09642943465163968, -0.015874703712953256, 0.2702314809060371)","(-0.06530410582256665, -0.014693166686971355, 0.31651467577147224)","[0.22738550512552225, -0.05712340997671555, 0.4294265452542565]"
0.53,"(-0.06530410582256665, -0.014693166686971355, 0.31651467577147224)","(-0.08766758475711164, -0.11149371249709675, 0.22195923951059823)","[0.5617707742520492, 0.9505180075600234, 0.4607757174237283]"
0.54,"(-0.08766758475711164, -0.11149371249709675, 0.22195923951059823)","(0.15040349091564095, -0.03298369015186312, 0.2151633659380819)","[-0.7482037714873297, 0.10154923087475529, -1.234289438540089]"
0.55,"(0.15040349091564095, -0.03298369015186312, 0.2151633659380819)","(-0.009198871521287497, -0.09153437915808886, 0.22681246713368386)","[0.5320798452491369, 1.1540817371046121, -1.3509085485396166]"
0.56,"(-0.009198871521287497, -0.09153437915808886, 0.22681246713368386)","(0.13728480117973546, 0.011297858480846024, 0.2776758781220445)","[-0.726196291799581, -0.25541836851584837, 0.11550387699583714]"
0.57,"(0.13728480117973546, 0.011297858480846024, 0.2776758781220445)","(0.16228569625592995, -0.013013198238250406, 0.20949669869390738)","[-0.8307127503528338, -0.09529914941073489, -1.1654610730613586]"
0.58,"(0.16228569625592995, -0.013013198238250406, 0.20949669869390738)","(0.009991284082978965, 0.08870755816703421, 0.29013340696677276)","[0.061954021962342634, -0.9660599408236976, -0.4294726087370229]"
0.59,"(0.009991284082978965, 0.08870755816703421, 0.29013340696677276)","(-0.07334557434342326, -0.020919882077625948, 0.3008814826178264)","[0.20258162928436113, -0.018359031951796074, 0.9031984785254316]"
0.6,"(-0.07334557434342326, -0.020919882077625948, 0.3008814826178264)","(0.173123439457155, 0.026367348552092277, 0.19080263734022562)","[-0.9602828253109217, -0.47117436464165585, -1.0073167622613182]"
0.61,"(0.173123439457155, 0.026367348552092277, 0.19080263734022562)","(0.05638972342168111, 0.07552671646051047, 0.2824427461130933)","[-0.1321297261553745, -0.9227618108574713, -0.7600990785489297]"
0.62,"(0.05638972342168111, 0.07552671646051047, 0.2824427461130933)","(-0.07266688105939281, -0.12417901508714377, 0.12161059766422938)","[1.3872592533158732, 1.3474482225373288, 0.3201353040764387]"
0.63,"(-0.07266688105939281, -0.12417901508714377, 0.12161059766422938)","(0.06751449505823985, -0.0668918426212893, 0.2948729414645172)","[-0.4515860683576257, 0.32263695097157574, 0.48276486320875533]"
0.64,"(0.06751449505823985, -0.0668918426212893, 0.2948729414645172)","(0.1346948853317012, -0.05660795196138847, 0.25902703140316863)","[-0.6582789460532606, 0.22541181381610498, -0.3727723576596016]"
0.65,"(0.1346948853317012, -0.05660795196138847, 0.25902703140316863)","(-0.06556144649060928, -0.12130330319441796, 0.1637664114118494)","[1.2843694268853525, 1.3589693226730761, -0.5088071759465543]"
0.66,"(-0.06556144649060928, -0.12130330319441796, 0.1637664114118494)","(0.10910877895706919, -0.07431417764735705, 0.2052580007601208)","[-1.1994784050115135, 0.6593654004773447, 1.4270741644495375]"
0.67,"(0.10910877895706919, -0.07431417764735705, 0.2052580007601208)","(-0.0008659334890535678, -0.05498277207792171, 0.29687648921077026)","[0.26375339514996277, 0.28199477785332117, -1.0784735660115172]"
0.68,"(-0.0008659334890535678, -0.05498277207792171, 0.29687648921077026)","(0.15675723090807608, 0.06454453041813976, 0.11796694247277906)","[-1.2662855964711932, -0.9859577221862417, -1.1491410591666686]"
0.69,"(0.15675723090807608, 0.06454453041813976, 0.11796694247277906)","(0.1728273211546631, -0.06192334087754492, 0.15190388667762367)","[-1.1528915661655916, 0.3299290452036648, -0.7800555520979676]"
0.7,"(0.1728273211546631, -0.06192334087754492, 0.15190388667762367)","(-0.1555304063488728, 0.06503074542669202, 0.21311768553734434)","[0.8634457174291706, -0.7973152769482442, 0.6763946198859382]"
0.71,"(-0.1555304063488728, 0.06503074542669202, 0.21311768553734434)","(-0.06773025435002994, 0.08683539775902471, 0.24826200255723152)","[0.7720238488198272, -1.2388129320304468, -1.1083505122180728]"
0.72,"(-0.06773025435002994, 0.08683539775902471, 0.24826200255723152)","(0.06890310907035074, 0.0470855863038043, 0.29295278289922416)","[-0.18457799732947713, -0.6760563120962116, -0.8641634838244908]"
0.73,"(0.06890310907035074, 0.0470855863038043, 0.29295278289922416)","(0.07381295571282696, -0.1215984267160296, 0.1844001821833911)","[-0.6686725547943685, 1.181092060141243, -0.40768842373520053]"
0.74,"(0.07381295571282696, -0.1215984267160296, 0.1844001821833911)","(-0.056467238321217, 0.08884255114437879, 0.2579464985233674)","[0.6391036961726156, -1.1592149648534946, -0.9907236619237398]"
0.75,"(-0.056467238321217, 0.08884255114437879, 0.2579464985233674)","(-0.14327603586851817, -0.10327457258413704, 0.16410996232593922)","[1.356947229335914, 0.7492426960142039, -0.2895865275874705]"
0.76,"(-0.14327603586851817, -0.10327457258413704, 0.16410996232593922)","(-0.03305778864463884, 0.044862827019272855, 0.2995151699780815)","[0.4010890605212687, -0.6695280441549809, -1.085842006941275]"
0.77,"(-0.03305778864463884, 0.044862827019272855, 0.2995151699780815)","(-0.17072518949508955, -0.00672880255820017, 0.17961531729998914)","[0.9880824618734874, -0.18372499768428843, 1.2521128794245828]"
0.78,"(-0.17072518949508955, -0.00672880255820017, 0.17961531729998914)","(0.10116607360721239, -0.010257183092493466, 0.26195926620369653)","[-0.341778330048908, -0.1702004628174998, -1.5004715487295743]"
0.79,"(0.10116607360721239, -0.010257183092493466, 0.26195926620369653)","(-0.02556152006150226, -0.08722970765352493, 0.2713539113844676)","[0.42612485536460437, 0.6879137587875453, -0.876241106329042]"
0.8,"(-0.02556152006150226, -0.08722970765352493, 0.2713539113844676)","(-0.05449171665258751, -0.08021755553491514, 0.17292281585865216)","[1.5237666605763065, 1.5239780941958414, -1.5633529256310141]"
0.81,"(-0.05449171665258751, -0.08021755553491514, 0.17292281585865216)","(-0.15365359759096298, 0.0567128610985984, 0.23976828051910026)","[0.9568039160105586, -0.5963416690158084, -0.16729069045919212]"
0.82,"(-0.15365359759096298, 0.0567128610985984, 0.23976828051910026)","(-0.18300618727711557, 0.000942529137734501, 0.18340480150501726)","[1.4254857789115003, -0.17882223798628513, -0.9014380581775343]"
0.83,"(-0.18300618727711557, 0.000942529137734501, 0.18340480150501726)","(0.06658690652044051, 0.03574105686862684, 0.3143154399960759)","[-0.2570622383722961, -0.4315209388520926, -0.13484655390436937]"
0.84,"(0.06658690652044051, 0.03574105686862684, 0.3143154399960759)","(0.18336767971737156, -0.017334208825776156, 0.20121297673548041)","[-1.2388733856723746, -0.025525950863465003, 0.5966795754757424]"
0.85,"(0.18336767971737156, -0.017334208825776156, 0.20121297673548041)","(0.11930294535217081, 0.04761729919544969, 0.2473331350333369)","[-0.9708191850302306, -0.7099167083905032, 1.2142001264854774]"
0.86,"(0.11930294535217081, 0.04761729919544969, 0.2473331350333369)","(-0.005260061745178734, -0.11672476881786488, 0.2545527705556792)","[0.05993305576931015, 0.9483612757085409, -0.010520862680394765]"
0.87,"(-0.005260061745178734, -0.11672476881786488, 0.2545527705556792)","(0.017298191277867317, -0.06525406438951582, 0.26662478745769325)","[-0.42180155065024455, 0.5562130296993302, 1.5097325602430312]"
0.88,"(0.017298191277867317, -0.06525406438951582, 0.26662478745769325)","(0.1564245511779435, -0.09097415461840536, 0.13424181206934266)","[-1.2970013195935226, 0.65253190609781, -0.6041418945915096]"
0.89,"(0.1564245511779435, -0.09097415461840536, 0.13424181206934266)","(-0.03110610273821647, 0.03459879735406861, 0.3091280218169709)","[0.34330416254720714, -0.5286218113906157, -0.9358206108441723]"
0.9,"(-0.03110610273821647, 0.03459879735406861, 0.3091280218169709)","(-0.01074002515828127, -0.1145686821806414, 0.18493135108504996)","[-0.31805885261996386, 1.5305270916891627, 0.6825665645560278]"
0.91,"(-0.01074002515828127, -0.1145686821806414, 0.18493135108504996)","(-0.1720643142110314, -0.03606357941403611, 0.1952949768658704)","[1.3161113865194831, 0.09426017563330771, -0.8969375972694318]"
0.92,"(-0.1720643142110314, -0.03606357941403611, 0.1952949768658704)","(-0.08373846665803522, -0.027679797216174726, 0.30378559912575365)","[0.5218764120994733, 0.012227755995569169, -0.5242647737782048]"
0.93,"(-0.08373846665803522, -0.027679797216174726, 0.30378559912575365)","(0.1864010127274076, 0.028810935566982693, 0.1326479096054179)","[-1.290415024165585, -0.510734932050223, -0.9268388778729322]"
0.94,"(0.1864010127274076, 0.028810935566982693, 0.1326479096054179)","(-0.0747219777531678, -0.12109601578919388, 0.15164535213783664)","[0.8835080145118261, 1.316980031485751, 0.5114894715592951]"
0.95,"(-0.0747219777531678, -0.12109601578919388, 0.15164535213783664)","(0.12277537715414291, -0.09536315996392072, 0.17956069582991083)","[-1.3838211078796832, 0.7954140829332732, 0.9774456327420523]"
0.96,"(0.12277537715414291, -0.09536315996392072, 0.17956069582991083)","(-0.10871084496733985, -0.11842212854798456, 0.18456235194980455)","[1.0000898916565517, 0.9612844569165623, -0.03575607287783906]"
0.97,"(-0.10871084496733985, -0.11842212854798456, 0.18456235194980455)","(-0.17770162003360634, -0.009036578778795143, 0.09926167535186685)","[1.400005740430532, -0.18005236949903505, 1.2336828278341456]"
0.98,"(-0.17770162003360634, -0.009036578778795143, 0.09926167535186685)","(0.11605904500678565, -0.09899461574765815, 0.10221423894101273)","[-1.3373576779218799, 0.9667718353478447, -1.0248719347411936]"
0.99,"(0.11605904500678565, -0.09899461574765815, 0.10221423894101273)","(0.05354781453806203, -0.0515048190396099, 0.30946872196586017)","[-0.14212074780660047, 0.20423951216313452, -0.3527912570596129]"
1.0,"(0.010226742751459425, -0.027160733421416977, 0.3280398342542274)","(-0.05249763923937696, -0.020850395464448834, 0.2937328924772137)","[0.5773352924713783, -0.05881773840290946, -1.3167876877939042]"
1.1,"(-0.05249763923937696, -0.020850395464448834, 0.2937328924772137)","(0.057598937766773634, -0.11600731444896152, 0.13914438074924657)","[-0.8146087297604129, 1.5575554302342653, -0.544851616762274]"
1.2,"(0.057598937766773634, -0.11600731444896152, 0.13914438074924657)","(0.18121084189587333, -0.045476826968712275, 0.20087224072768375)","[-1.1574132775304147, 0.14419884326128932, 0.24252504295724847]"
1.3,"(0.18121084189587333, -0.045476826968712275, 0.20087224072768375)","(-0.021544489234907448, -0.023810309961185886, 0.28917585205240026)","[-0.12369363457420843, -0.0322333002332223, 1.5650922374421181]"
1.4,"(-0.021544489234907448, -0.023810309961185886, 0.28917585205240026)","(0.0036036494558627664, -0.028563644068745977, 0.29033857871233704)","[-0.2772803588068397, 0.031768744597653345, 1.5099339604946103]"
1.5,"(0.0036036494558627664, -0.028563644068745977, 0.29033857871233704)","(-0.13608278529637008, 0.045345608689202774, 0.2072868678699427)","[0.7343412682667219, -0.844688721869618, 1.4666525450043275]"
1.6,"(-0.13608278529637008, 0.045345608689202774, 0.2072868678699427)","(-0.13163393469609147, 0.11209673009439564, 0.15110107021227442)","[1.2659451659642835, -1.3076721482103844, 0.2919191875726716]"
1.7,"(-0.13163393469609147, 0.11209673009439564, 0.15110107021227442)","(-0.08394941283673135, -0.10285123813034702, 0.24493387012979012)","[0.7503536269991017, 0.7174015981261156, -0.48753338772820604]"
1.8,"(-0.08394941283673135, -0.10285123813034702, 0.24493387012979012)","(0.18596762334047484, -0.06281643602198338, 0.12393722239544402)","[-1.3958679291770415, 0.2644116166075419, -0.29955022841283785]"
1.9,"(0.18596762334047484, -0.06281643602198338, 0.12393722239544402)","(0.17097270666960204, -0.020568063646244084, 0.11898580446890494)","[-1.2497368437171004, -0.10763420966248481, -1.4196505920896458]"
1.1,"(0.17097270666960204, -0.020568063646244084, 0.11898580446890494)","(-0.060648242587284434, 0.10119574619103096, 0.2685915506355714)","[0.4499338053336391, -1.1367629436249915, -0.11269545025750442]"
1.11,"(-0.060648242587284434, 0.10119574619103096, 0.2685915506355714)","(-0.14614838757971488, -0.05856007950322091, 0.24708811040907497)","[0.8216605759473127, 0.2297862865595693, 0.23771582557069085]"
1.12,"(-0.14614838757971488, -0.05856007950322091, 0.24708811040907497)","(0.07311515351072616, -0.1257459083590115, 0.19009085300563952)","[-0.7891021665692408, 1.1542964059313698, 0.00733836959308975]"
1.13,"(0.07311515351072616, -0.1257459083590115, 0.19009085300563952)","(-0.1640962921466897, 0.07188339530235689, 0.20586811628726032)","[1.124963944745038, -0.7846589857969568, -0.16870370552596617]"
1.14,"(-0.1640962921466897, 0.07188339530235689, 0.20586811628726032)","(-0.1379240649727116, -0.05551393116643222, 0.24265125365890636)","[0.6663314926735816, 0.2813231255379335, 0.7915515156653391]"
1.15,"(-0.1379240649727116, -0.05551393116643222, 0.24265125365890636)","(-0.03378146034932309, 0.07496330297771807, 0.2501256301018412)","[-0.09525851306607025, -1.3115183264357861, 1.50478969294481]"
1.16,"(-0.03378146034932309, 0.07496330297771807, 0.2501256301018412)","(0.11719726939146169, 0.05046502744157427, 0.22357090781711192)","[-1.146797110410754, -0.9097383318107755, 1.5475701661654742]"
1.17,"(0.11719726939146169, 0.05046502744157427, 0.22357090781711192)","(-0.10245977095348698, 0.046607679214436516, 0.2569696355469871)","[0.36597644590274286, -0.7487160317304177, 1.282330662882979]"
1.18,"(-0.10245977095348698, 0.046607679214436516, 0.2569696355469871)","(0.11740151621927279, 0.08522333157806214, 0.17886388232827044)","[-0.7832690355167238, -1.3398627595456376, -1.253766466423613]"
1.19,"(0.11740151621927279, 0.08522333157806214, 0.17886388232827044)","(-0.15677664563311605, -0.03614087855968536, 0.1671040830685624)","[0.9663223273757091, 0.13177067665642023, 1.4942427610069684]"
1.2,"(-0.15677664563311605, -0.03614087855968536, 0.1671040830685624)","(-0.10851245384393576, 0.08592860875862705, 0.2370366072955058)","[0.5106013417912445, -1.0656915429962674, 0.7754361799043851]"
1.21,"(-0.10851245384393576, 0.08592860875862705, 0.2370366072955058)","(-0.18780102247217345, 0.02969398615788683, 0.18881514098763674)","[1.2896125349465928, -0.43956091079977727, -0.46960024441218023]"
1.22,"(-0.18780102247217345, 0.02969398615788683, 0.18881514098763674)","(-0.06221578769868866, 0.08184880801403961, 0.22451364625801845)","[0.9218468139704854, -1.494287197453886, -1.4976695754765852]"
1.23,"(-0.06221578769868866, 0.08184880801403961, 0.22451364625801845)","(0.0801721529791828, 0.061926638110242405, 0.2734184889134816)","[-0.26133188742709595, -0.8516543356079348, -1.0221526752885817]"
1.24,"(0.0801721529791828, 0.061926638110242405, 0.2734184889134816)","(-0.1799761046868497, 0.05776766097561752, 0.17838975251650335)","[1.125829690910487, -0.6788085409823913, 0.4496102089851891]"
1.25,"(-0.1799761046868497, 0.05776766097561752, 0.17838975251650335)","(0.021576335059795792, -0.09483968073621685, 0.21472540536813875)","[0.23924070693248933, 1.2258632416257438, -1.293837105058619]"
1.26,"(0.021576335059795792, -0.09483968073621685, 0.21472540536813875)","(-0.06400683554380031, -0.11437504771365392, 0.10045052320105227)","[1.441750929840339, 1.4472660276281295, 0.7137413647938676]"
1.27,"(-0.06400683554380031, -0.11437504771365392, 0.10045052320105227)","(0.055962062857888455, -0.01941304451266252, 0.31898057920165934)","[-0.3470017476852402, -0.04622217461575871, 0.362227874406238]"
1.28,"(0.055962062857888455, -0.01941304451266252, 0.31898057920165934)","(0.17612010702960146, -0.010774168327441483, 0.14198427131616648)","[-1.181606688040642, -0.15788685608781092, -1.3162092986285108]"
1.29,"(0.17612010702960146, -0.010774168327441483, 0.14198427131616648)","(0.1173920316266093, -0.08325090571010157, 0.1109525202987936)","[-1.2603514468119164, 0.9101711980912255, -1.4247173273662674]"
1.3,"(0.1173920316266093, -0.08325090571010157, 0.1109525202987936)","(-0.1823775295085076, 0.046385163690686675, 0.15583403602423962)","[1.5389578483721973, -0.6117161959940833, -0.7769905133241464]"
1.31,"(-0.1823775295085076, 0.046385163690686675, 0.15583403602423962)","(0.051258236047964686, -0.010426678593780015, 0.32024145315684943)","[-0.20657021631374967, -0.10333060633892924, -0.45987561688790135]"
1.32,"(0.051258236047964686, -0.010426678593780015, 0.32024145315684943)","(-0.08743182027073357, 0.008108240526403458, 0.2847970688995986)","[0.6657094410575148, -0.3175175513989849, -1.2256017020319647]"
1.33,"(-0.08743182027073357, 0.008108240526403458, 0.2847970688995986)","(0.15979933023881143, 0.05541849401744389, 0.2295310567248302)","[-0.919518143645292, -0.6448472670337525, -0.29676517521799123]"
1.34,"(0.15979933023881143, 0.05541849401744389, 0.2295310567248302)","(0.004208211111079732, -0.09957389128278782, 0.21311525588771602)","[0.4074436840861464, 1.2780839188675222, -1.186232714436411]"
1.35,"(0.004208211111079732, -0.09957389128278782, 0.21311525588771602)","(-0.12595344067539074, -0.09703470483796854, 0.13483932873807142)","[1.1261661845828215, 0.8849790477334227, 1.0143393474337128]"
1.36,"(-0.12595344067539074, -0.09703470483796854, 0.13483932873807142)","(0.05069530097724799, -0.11720549146902075, 0.21954598503039646)","[-0.7036223436159735, 1.1014926787163226, 0.512775016599316]"
1.37,"(0.05069530097724799, -0.11720549146902075, 0.21954598503039646)","(-0.02729662445420343, -0.08699340544403707, 0.20790490587676547)","[0.8422765900684197, 1.2994358119533485, -1.4746960761582437]"
1.38,"(-0.02729662445420343, -0.08699340544403707, 0.20790490587676547)","(0.10560443055654553, 0.104318590165037, 0.15667160549666043)","[-0.8926031495499364, -1.495457499590368, -0.9465038376975337]"
