index,act_pos,next_pos,changes
0.0,"(0.0009054556918939442, -0.023709238892965313, 0.32904539219407325)","(0.08777934601055225, -0.03989152806937246, 0.2965150124528336)","[-0.5978740532734516, 0.1381338793402365, 0.6426071478489589]"
0.1,"(0.08777934601055225, -0.03989152806937246, 0.2965150124528336)","(0.05494042323329214, -0.0975713601462374, 0.19044456792814216)","[-0.16381870041071908, 1.3450606111091434, -1.2216751140210176]"
0.2,"(0.05494042323329214, -0.0975713601462374, 0.19044456792814216)","(-0.17101425628859118, -0.01927727908827366, 0.19985103952183753)","[1.3230409681395385, -0.03548202180086263, -0.966835890380783]"
0.3,"(-0.17101425628859118, -0.01927727908827366, 0.19985103952183753)","(-0.13167539658763844, 0.09671820574241162, 0.19735434792448497)","[1.2036352496288854, -1.1183176722657544, -0.5703070728966873]"
0.4,"(-0.13167539658763844, 0.09671820574241162, 0.19735434792448497)","(0.1487644837506455, 0.08159391952391831, 0.20927587692982952)","[-0.874985526778911, -0.8996562622073256, -0.4212933754676802]"
0.5,"(0.1487644837506455, 0.08159391952391831, 0.20927587692982952)","(0.18565629670187167, 0.03876109288157064, 0.19612820643518403)","[-1.1842128819249114, -0.4826980870797257, 0.20235678730062315]"
0.6,"(0.18565629670187167, 0.03876109288157064, 0.19612820643518403)","(0.1905870008144206, -0.020152337461737224, 0.16871155673739802)","[-1.140469188645791, -0.02189993563183669, -0.6945671721703677]"
0.7,"(0.1905870008144206, -0.020152337461737224, 0.16871155673739802)","(0.11175298138205378, -0.09933024575903039, 0.23348061719917476)","[-0.8377959730619812, 0.7186170230595369, 0.31064841759571593]"
0.8,"(0.11175298138205378, -0.09933024575903039, 0.23348061719917476)","(-0.03093289387103592, -0.10279493776868212, 0.1968833786141082)","[-0.11318726926492176, 1.4396053514142813, 1.0889353832790032]"
0.9,"(-0.03093289387103592, -0.10279493776868212, 0.1968833786141082)","(-0.06720250116424971, 0.025964087710222516, 0.2911535614868056)","[0.6312130889438479, -0.4580332372493285, -1.1926903216701383]"
0.1,"(-0.06720250116424971, 0.025964087710222516, 0.2911535614868056)","(0.16745653928011725, 0.057455378503892506, 0.2182690759808309)","[-1.0218504344690562, -0.6128812506567431, 0.17268780468812284]"
0.11,"(0.16745653928011725, 0.057455378503892506, 0.2182690759808309)","(-0.10765559732046057, 0.037245770623443496, 0.2932886767850191)","[0.6133475796422886, -0.4470851443909058, -0.22271341509501524]"
0.12,"(-0.10765559732046057, 0.037245770623443496, 0.2932886767850191)","(0.13690584720882204, 0.09427540848796268, 0.15924792321907633)","[-1.5455027412382611, -1.1935609938953438, 0.8966639028415756]"
0.13,"(0.13690584720882204, 0.09427540848796268, 0.15924792321907633)","(0.17273045727952474, 0.04897465025183256, 0.2165896739600925)","[-1.0276811482376027, -0.5565198619929299, 0.12424235973066863]"
0.14,"(0.17273045727952474, 0.04897465025183256, 0.2165896739600925)","(0.09158095319862117, -0.09682171320424232, 0.23324488110036493)","[-0.4003553283391267, 0.7965059117945015, -0.8106734011141999]"
0.15,"(0.09158095319862117, -0.09682171320424232, 0.23324488110036493)","(-0.14707932410239039, -0.05080502951367562, 0.1955393029912884)","[0.8612006028353628, 0.30763952434694947, 1.3157569816059824]"
0.16,"(-0.14707932410239039, -0.05080502951367562, 0.1955393029912884)","(0.0441705389531741, -0.10703020878644401, 0.25442948460918735)","[-0.4500719544722639, 0.8744851314780253, 0.5199767539882039]"
0.17,"(0.0441705389531741, -0.10703020878644401, 0.25442948460918735)","(-0.13574920472681257, -0.0452543951954978, 0.21442360799764698)","[1.254919777791946, 0.25057856690076097, -1.421516132922623]"
0.18,"(-0.13574920472681257, -0.0452543951954978, 0.21442360799764698)","(0.12959435319186063, -0.09043920729617408, 0.15308714763783876)","[-0.9537591624946521, 0.8343140852639628, -1.062464517429595]"
0.19,"(0.12959435319186063, -0.09043920729617408, 0.15308714763783876)","(-0.03986518150629211, 0.07463273903848111, 0.2794075088172746)","[0.05347893754900432, -0.9577443618356972, 1.0082612997961369]"
0.2,"(-0.03986518150629211, 0.07463273903848111, 0.2794075088172746)","(0.1137088829272003, -0.10753568375377534, 0.15724846893736422)","[-1.506042795769065, 1.0045212978738403, 0.7650926195055654]"
0.21,"(0.1137088829272003, -0.10753568375377534, 0.15724846893736422)","(-0.04236647227605115, 0.06360349238304931, 0.2755266085408793)","[0.021035577801127227, -0.9430317296705839, 1.2862845313134654]"
0.22,"(-0.04236647227605115, 0.06360349238304931, 0.2755266085408793)","(0.03638379496890987, 0.07705757222772812, 0.2409317239223007)","[0.11357021380569272, -1.4177606132071126, -1.5458764420005953]"
0.23,"(0.03638379496890987, 0.07705757222772812, 0.2409317239223007)","(-0.06562748866123871, -0.0341695107667542, 0.2939362782369387)","[0.16497071378406722, 0.09236905980369652, 1.092295792580323]"
