index,current_distance,current_norm_distance,current_unit_vector,action_to_next,pred_norm_distance,pred_unit_vector,next_norm_distance,next_unit_vector
0.0,0.6345127765109867,2.1150425883699557,"(-0.298, -0.259, -0.919)","[0.7223426679022413, 1.2789369686910874, -0.7211725843452466]",0.38315085,"[0.47383496, 1.0935112, -1.1192793]",1.6398107576108658,"(-0.318, -0.147, -0.937)"
0.1,0.49194322728325973,1.6398107576108658,"(-0.318, -0.147, -0.937)","[0.39371155586729806, -0.030358985743720732, -0.3569868862428004]",0.36573574,"[0.5585039, 0.90062433, -1.161228]",2.0276335047048795,"(-0.207, -0.277, -0.938)"
0.2,0.6082900514114639,2.0276335047048795,"(-0.207, -0.277, -0.938)","[0.13395700088507007, 0.22288927970243097, -0.5636668714280145]",0.20397183,"[0.6049817, 1.1951754, -1.4534005]",2.051140208740751,"(-0.305, -0.226, -0.925)"
1.0,0.5695648454067941,1.8985494846893136,"(0.154, 0.317, -0.936)","[1.130295050372343, -0.4557549047013288, -0.31668858853568266]",1.1128663,"[0.6203172, 0.6356375, -0.5737072]",1.704545007546116,"(0.52, 0.24, -0.82)"
1.1,0.5113635022638348,1.704545007546116,"(0.52, 0.24, -0.82)","[-0.40075031866707417, 1.237844107461412, 1.176132808196512]",0.84852386,"[0.42336205, 0.9376971, -0.43813673]",1.6719584334832946,"(0.186, 0.511, -0.839)"
1.2,0.5015875300449884,1.6719584334832946,"(0.186, 0.511, -0.839)","[0.6244275970005663, 1.5448709363978677, 1.4681748681025601]",1.0439237,"[0.47491223, 0.8816902, -0.09747264]",1.4892730965169498,"(0.35, 0.534, -0.769)"
