index,current_distance,current_norm_distance,current_unit_vector,action_to_next,pred_norm_distance,pred_unit_vector,next_norm_distance,next_unit_vector
0.0,0.3306664766751349,1.1022215889171163,"(-0.491, -0.618, -0.614)","[-1.4636378885767702, 0.31266624927208697, 1.299405916075782]",0.7171278,"[0.16729666, 0.24268803, -1.1024344]",1.2262268745560538,"(-0.864, -0.482, -0.144)"
0.1,0.36786806236681613,1.2262268745560538,"(-0.864, -0.482, -0.144)","[0.28979468921494644, 0.20525158683522626, 0.1728411473667062]",0.5646903,"[-0.5635813, 0.28800917, -0.26478046]",0.9058015303329185,"(-0.345, -0.659, -0.669)"
0.2,0.27174045909987554,0.9058015303329185,"(-0.345, -0.659, -0.669)","[1.1704073339685213, -0.14682694032218227, -1.278805983895678]",1.0403912,"[0.6868383, 0.26282203, -0.8791129]",0.8041367803973674,"(-0.068, -0.905, -0.419)"
1.0,0.49437556533409693,1.6479185511136565,"(0.257, 0.633, -0.73)","[-0.10868180742778749, 1.4121773563127413, -1.057487770690353]",1.1204244,"[0.12455182, 0.80991423, -0.17458957]",1.5194524916932766,"(0.173, 0.861, -0.478)"
1.1,0.45583574750798295,1.5194524916932766,"(0.173, 0.861, -0.478)","[-0.5462579080551614, 0.6332086430949816, 1.2076808854542986]",1.0736706,"[-0.13227674, 0.7804304, -0.39982986]",1.60275097315296,"(0.189, 0.762, -0.62)"
1.2,0.48082529194588797,1.60275097315296,"(0.189, 0.762, -0.62)","[-1.4507609440556062, 1.0815161634166262, 0.10756353300615158]",1.1127508,"[-0.10376687, 0.87491393, -0.10953605]",1.4884514963017401,"(0.035, 0.92, -0.389)"
