index,goal_position,current_pos,current_angles,current_distance,next_pos,change_to_next,next_angles,next_distance,next_utility,utility_of_changes
0.0,"[-0.04661674735319048, -0.04647965836822902, 0.31825760405829945]","[-0.07740893889104834, -0.03287662188146385, 0.3128150172418582]","[0.38528922891239636, 0.05941587978759122, -3.601563491884008e-13]",,"[-0.07198696105972455, -0.03293655159502067, 0.3149055955314366]",-2.0° on alpha,"[0.3592754550225674, 0.062221428567913684, -1.7896795156957523e-13]",0.02895340128119479,0.37560108,"{'+2.0° on alpha': 0.10631504, '-2.0° on alpha': 0.37560108, '+2.0° on beta': 0.17474113, '-2.0° on beta': 0.19376758, '+2.0° on alpha, +2.0° on beta': 0.10631504, '-2.0° on alpha, -2.0° on beta': 0.24537635, '+2.0° on alpha, -2.0° on beta': 0.10631504, '-2.0° on alpha, +2.0° on beta': 0.28916714}"
0.1,"[-0.04661674735319048, -0.04647965836822902, 0.31825760405829945]","[-0.07198696105972455, -0.03293655159502067, 0.3149055955314366]","[0.3592754550225674, 0.062221428567913684, -1.7896795156957523e-13]",0.02895340128119479,"[-0.06633617478631437, -0.03604092731818029, 0.31605227331131946]","-2.0° on alpha, +2.0° on beta","[0.33107570887943405, 0.08715049298063082, -4.1300296516055823e-13]",0.022420669212337662,0.65547186,"{'+2.0° on alpha': 0.20844352, '-2.0° on alpha': 0.3538839, '+2.0° on beta': 0.37808755, '-2.0° on beta': 0.2698953, '+2.0° on alpha, +2.0° on beta': 0.19799815, '-2.0° on alpha, -2.0° on beta': 0.25271738, '+2.0° on alpha, -2.0° on beta': 0.2800421, '-2.0° on alpha, +2.0° on beta': 0.65547186}"
0.2,"[-0.04661674735319048, -0.04647965836822902, 0.31825760405829945]","[-0.06633617478631437, -0.03604092731818029, 0.31605227331131946]","[0.33107570887943405, 0.08715049298063082, -4.1300296516055823e-13]",0.022420669212337662,"[-0.06050049276274022, -0.03938333479808066, 0.316913423904926]","-2.0° on alpha, +2.0° on beta","[0.30272776172045734, 0.11425814336000872, -3.19300141882195e-13]",0.015650016456673767,0.6644975,"{'+2.0° on alpha': 0.33258978, '-2.0° on alpha': 0.6547209, '+2.0° on beta': 0.4911473, '-2.0° on beta': 0.50795925, '+2.0° on alpha, +2.0° on beta': 0.30696258, '-2.0° on alpha, -2.0° on beta': 0.23000485, '+2.0° on alpha, -2.0° on beta': 0.422259, '-2.0° on alpha, +2.0° on beta': 0.6644975}"
0.3,"[-0.04661674735319048, -0.04647965836822902, 0.31825760405829945]","[-0.06050049276274022, -0.03938333479808066, 0.316913423904926]","[0.30272776172045734, 0.11425814336000872, -3.19300141882195e-13]",0.015650016456673767,"[-0.055270385052350914, -0.03967436978266416, 0.31839441962143855]",-2.0° on alpha,"[0.2763143209936798, 0.11663687140872447, -3.6548541970660153e-13]",0.01100981910203193,0.715974,"{'+2.0° on alpha': 0.34521458, '-2.0° on alpha': 0.715974, '+2.0° on beta': 0.37080947, '-2.0° on beta': 0.6703485, '+2.0° on alpha, +2.0° on beta': 0.27803198, '-2.0° on alpha, -2.0° on beta': 0.2357038, '+2.0° on alpha, -2.0° on beta': 0.49296877, '-2.0° on alpha, +2.0° on beta': 0.5514539}"
0.4,"[-0.04661674735319048, -0.04647965836822902, 0.31825760405829945]","[-0.055270385052350914, -0.03967436978266416, 0.31839441962143855]","[0.2763143209936798, 0.11663687140872447, -3.6548541970660153e-13]",0.01100981910203193,"[-0.050059357057250856, -0.039564786950730256, 0.31984134037971107]",-2.0° on alpha,"[0.24977723501159588, 0.11651144932772928, -3.4638958368304884e-13]",0.007885127077656416,0.6390053,"{'+2.0° on alpha': 0.22569561, '-2.0° on alpha': 0.6390053, '+2.0° on beta': 0.266623, '-2.0° on beta': 0.4497395, '+2.0° on alpha, +2.0° on beta': 0.20784298, '-2.0° on alpha, -2.0° on beta': 0.5723299, '+2.0° on alpha, -2.0° on beta': 0.3037055, '-2.0° on alpha, +2.0° on beta': 0.44052532}"
